	User ID	Text ID	Text	Lang	Country by Zone	Country by Location	Drug	ADR
225	9.60E+17	9.60E+17	"OxyContin, some Lortabs.
Crush it up.

Hit the blunt, hit the blunt."	en	Pacific Time (US & Canada)	Planícies de Eidolon		
228	9.60E+17	9.60E+17	Kodak Black (@KodakBlack1k) ft Lil Wayne - Codeine Dreaming	en		"New York, USA"		
245	9.60E+17	9.60E+17	"@1ONLY1QUEEN I'm expectin' a DM a day or me listening to ""Codeine Crazy"" on a loop gon do me in."	en	Eastern Time (US & Canada)	"Orlando, FL"	ambiguous	
268	9.60E+17	9.60E+17	I'm Codeine dreaming .	en		"Rock Island, IL"		
287	9.60E+17	9.60E+17	There is no part of my day that’s better than sitting down on my bed and reading Alcoholics Anonymous. The relief it brings is heroin like.	en		"Riverton, UT"		
293	9.60E+17	9.60E+17	I’m so dizzy and tired but I don’t want to sleep 😭 stupid medication it was either this or suffering in pain	en		ᵕ̈Puerto Rico: lm&ly	pain medication	insomnia
308	9.60E+17	9.60E+17	She’s popping benzos like breath mints.	en		Guatemala		
335	9.60E+17	9.60E+17	In the words of my foreign policy professor- “The NFL is the Opiate of the Masses”	en	Atlantic Time (Canada)	New York		
357	9.60E+17	9.60E+17	Now to endure a heroin addict type feeling I like to call being a mets fan	en	Quito			
362	9.60E+17	9.60E+17	@pedershk @GovHowardDean Funny... You're the moron--where's the oxy?? Hahaha!!	en				
374	9.60E+17	9.60E+17	Its pathetic that unless you have money a doctor would deny treatment and pain medication To sick people	en	Atlantic Time (Canada)	United States		
381	9.60E+17	9.60E+17	Theyve got NA (narcotics anon) and AA (alcoholics anonymous) now all they need is FA (family anonymous) ...is FA therapy? Hi im lena	en				
404	9.60E+17	9.60E+17	New York accuses Insys of deceptively marketing opioid	en	Lisbon			
423	9.60E+17	9.60E+17	everyone knows jeff benzos of amazon but no one knows about john youtube of youtube	en	Pacific Time (US & Canada)	bay area		
437	9.60E+17	9.60E+17	@IMShawnAndrews I'm more concerned about the opioid epidemic. I am not knowledgeable of trix overdoses sorry..	en		"Byesville, Ohio"		
440	9.60E+17	9.60E+17	@LupineBookClub that's why I took a codeine	en	Central Time (US & Canada)			
448	9.60E+17	9.60E+17	I need analgesics.	en		205✈️251		
463	9.60E+17	9.60E+17	I imagine this is what heroin feels like #eaglessuperbowldub	en		"New Jersey, USA"	eagle	
480	9.60E+17	9.60E+17	and good people and more opiates and afghanistan elections on the inside	en				
500	9.60E+17	9.60E+17	"@gabrielamadej Can realate, or at least until the opiates kick in."	en	Amsterdam	Republic of Celtic Yorkshire		
554	9.60E+17	9.60E+17	@HUNNYLORD @lilac_spawn she did heroin	en		all black lives matter		
557	9.60E+17	9.60E+17	"Just like nicotine, heroin, morphine #CamilaCabello #BestSoloBreakout #iHeartAwards"	en				
573	9.60E+17	9.60E+17	I listen to codeine crazy every night before bed @1future	en		"Cleveland, OH"		
579	9.60E+17	9.60E+17	"This Fentanyl shit has to stop! Better whiskey, my friend."	en	Pacific Time (US & Canada)	Pacific NW		
587	9.60E+17	9.60E+17	I put a ring 💍 around codeine	en	Pacific Time (US & Canada)	in prison with el chapo		
595	9.60E+17	9.60E+17	Methadone my best friend	en	Atlantic Time (Canada)	616 ✈ 809 		
603	9.60E+17	9.60E+17	"can you believe the cleveland browns won the super bowl? this is crazy. more morphine, please!"	en	Pacific Time (US & Canada)	PDX via CLE		
638	9.60E+17	9.60E+17	WVU researcher links fentanyl to particular form of amnesia	en	Monterrey	"St. George's Town, Bermuda"		
652	9.60E+17	9.60E+17	@Matt_Kabel28 While you take your opioids try not to overdose this time supremacist.	en	Central Time (US & Canada)	Parts Unknown	opioids	overdose
653	9.60E+17	9.60E+17	@IMShawnAndrews And I don't care who started the opioid problem..that won't fix it..	en		"Byesville, Ohio"		
657	9.60E+17	9.60E+17	@ilovevolleykids @MarthaLuvWine69 Take your Vicodin and shut up michelle	en		"Boston, MA"		
668	9.60E+17	9.60E+17	@whitewinemom69 @MarthaLuvWine69 take your vicodin and forget about your kids again barbra	en		"New York, NY"	vicodin	indifference
679	9.60E+17	9.60E+17	"@Slate Prescription &amp; Illegal Opioid Epidemic running amok.

Slate: Hey kids, you should try some prescription meds."	en	Pacific Time (US & Canada)	"California, USA"		
695	9.60E+17	9.60E+17	@michael_w_busch CMS is going to target opioid &amp; gaba use in Medicare	en	Eastern Time (US & Canada)	Massachusetts		
699	9.60E+17	9.60E+17	"Just like nicotine, heroine, morphine
Suddenly, I'm a fiend and you're all I need
All I need, yeah, you're all I need 🎶🍻"	en	Beijing	PH		
731	9.60E+17	9.60E+17	I won’t let my ex around my daughter because he’s a heroin/meth addict. I care more about my kid than I do about you	en	Pacific Time (US & Canada)	"Colorado Springs, CO"	social	
745	9.60E+17	9.60E+17	"and people ask, why i do so much narcotics"	en	Eastern Time (US & Canada)			
748	9.60E+17	9.60E+17	"Just like nicotine, heroin, morphine, suddenly I'm a fiend and you're all I need"	en	Santiago			
766	9.60E+17	9.60E+17	"percocet and oxycontin 
only thing that i be wanting
feinding time when i be off it
feeling like im gonna vomit"	en		"Las Vegas, NV"		
773	9.60E+17	9.60E+17	how much vicodin kills you	en	Arizona			
774	9.60E+17	9.60E+17	"""Shoot it up! ... nope that's heroin, nevermind"""	en				
796	9.60E+17	9.60E+17	"i want to be alone 
leave me 
mary bo peep but leave the opiates"	en				
837	9.60E+17	9.60E+17	"the name is nicotine, and you are my morphine."	en		qluix		
845	9.60E+17	9.60E+17	Have trouble focusing?You probably have ADHD.This causes denial.Try Methadone	en			social	
847	9.60E+17	9.60E+17	"@CleanSlateCtrs @ADAWnews  - CleanSlate prescribes buprenorphine and naltrexone, not methadone."	en	Pacific Time (US & Canada)			
848	9.60E+17	9.60E+17	@eremgee @ZeldaUniverse @TomServoJones @CosplayInfin @ShareMyCosplay @ImpactCosplay My favorite heroin comes to life!	en		"Cape Coral, FL"		
852	9.60E+17	9.60E+17	@gentlemindmom @PersilProClean I only listed one narcotic... unless you use to snort Persil and have since mended your ways?	en	Pacific Time (US & Canada)	"Pasadena, CA"		
856	9.60E+17	9.60E+17	Morphine	en		ka gae		
861	9.60E+17	9.60E+17	@Matt_Kabel28 You are his sole minority supporter. You won't be around. Too busy popping opioids &amp; drinking bleach. Who does that leave?	en	Central Time (US & Canada)	Parts Unknown		
873	9.60E+17	9.60E+17	@eremgee @ZeldaUniverse @TomServoJones @CosplayInfin @ShareMyCosplay @ImpactCosplay My favorite heroin comes to life!	en		"Cape Coral, FL"		
879	9.60E+17	9.60E+17	"@mattyoungster Now children only have heroin needles and polio to play in, no balls."	en	Pacific Time (US & Canada)	"Dung, France"		
970	9.60E+17	9.60E+17	"""how do i turn down?""
what are you on
""opiates"""	en	Atlantic Time (Canada)			
978	9.60E+17	9.60E+17	"Since codeine came off the shelves, I have noticing a whole load of TV adverts for new nerve pain meds... where were they before?!"	en	Melbourne	"Melbourne, Australia "		
980	9.60E+17	9.60E+17	"“Insanity is doing the same thing, over and over again, but expecting different results.” ― Narcotics Anonymous  #ALDUBibaPagMagkasama"	en	Hong Kong			
982	9.60E+17	9.60E+17	Now playing #Morphine - The Saddest Song on #RadiOmaha	en	Central Time (US & Canada)	"Omaha, Nebraska "		
993	9.60E+17	9.60E+17	"All this cause and not an effect yet
Just gauze and Percocet"	en				
1000	9.60E+17	9.60E+17	if u smoke mids its worse than heroin	en		"Houston, TX"		
1009	9.60E+17	9.60E+17	Im already depressed and suicidal as it is but if my cat dies within the next 5 or so years I WILL do heroin	en	Pacific Time (US & Canada)			
1049	9.60E+17	9.60E+17	triple hella high grade thc put into a heroin syringe for your vaping pleasures®™©	en		"Sacramento, CA"		
1056	9.60E+17	9.60E+17	@txlady706 @FedupWithSwamp @trumpa256 More like a 1000mg of oxy..	en		Republic of the Philippines		
1058	9.60E+17	9.60E+17	@RealJamesWoods China is like fake news!!! They're the biggest fentanyl traffickers !!! The ☕️ tea drinkers ?	en		Las Vegas 		
1075	9.60E+17	9.60E+17	"kite street health centre supplies Orange police green lighted drug dealers with pills, methadone prescription drugs to sell on black market"	en	Beijing	Orange N.S.W.		
1087	9.60E+17	9.60E+17	@WestWingReport which opioid will she get ?	en	Quito			
1088	9.60E+17	9.60E+17	"@frankieboyle Frankie, I just finished a week long prescription of tramadol for a kidney stone, and it was actually rather pleasant."	en				
1101	9.60E+17	9.60E+17	@TheDemocrats @Maggie_Hassan You want to control the opioid epidemic? Start with the doctors prescribing them.	en		United States		
1118	9.60E+17	9.60E+17	@meechyFbaby heroin and cocaine*	en		440		
1120	9.60E+17	9.60E+17	"@AngieTheMelon Nah, Florida is just full of swamp ass and heroin."	en		"Florida, USA"		
1121	9.60E+17	9.60E+17	People are hurting their dogs to get access to pain medication from the vet? Oh hell no!	en	Central Time (US & Canada)	"Fayetteville, AR"	social	
1141	9.60E+17	9.60E+17	Dang they on crack and heroin	en		"Charleston, SC"		
1154	9.60E+17	9.60E+17	"I finally know what amnesia feels like. XD and narcotics. 
*must look at the bright side"	en	Beijing		narcotics	bad smell
1161	9.60E+17	9.60E+17	@Education4Libs But we have a great place for you to use heroin	en		"Ventnor City, NJ"		
1184	9.60E+17	9.60E+17	"I could take u anywhere that u like,  private island Percocet with the sprite."	en	Eastern Time (US & Canada)	"Natick, MA"		
1187	9.60E+17	9.60E+17	NOFX - Oxy Moronic - First Ditch Effort - Fat Wreck C	en	Eastern Time (US & Canada)	"Pittsburgh, PA"		
1191	9.60E+17	9.60E+17	Addicted to narcotics🤧	en	Central Time (US & Canada)	"New Iberia, LA"		
1209	9.60E+17	9.60E+17	Kodak Black - Codeine Dreaming (Feat. Lil Wayne) (Dirty)	en	Pacific Time (US & Canada)			
1217	9.60E+17	9.60E+17	@gettinnoticedmo Might wanna delete the Nana comment. And the heroin one too.	en				
1224	9.60E+17	9.60E+17	"Dropped outta school, hopped in a private jet. Bitch I’m off the lean. I can’t pop no percocet"	en	Eastern Time (US & Canada)	"Uniondale, NY"		
1247	9.60E+17	9.60E+17	"Methadone Clinic waiting room
#BadBirthdayPartyLocations"	en		"West Virginia, USA"		
1252	9.60E+17	9.60E+17	"@DavidTorske he's talking about a syringe filled with cocaine and heroin, of course"	en	Bern	Germany		
1256	9.60E+17	9.60E+17	codeine laboratory like on dexter	en		savannah george 		
1280	9.60E+17	9.60E+17	Why does @Pink have to explain the cough drop she took out of her mouth? What did people think it was? #Oxycontin?	en	Central Time (US & Canada)	Deep in the heart of Texas		
1290	9.60E+17	9.60E+17	Sadako and Kayako are mechanically black tar heroin but I lovingly stab #nofap.	en				
1298	9.60E+17	9.60E+17	"@SnowFlakeCrushr @NancyPelosi She looks hooked on heroin..
#Pelosi"	en	Arizona	"Commiefornia, United States"		
1307	9.60E+17	9.60E+17	@aliaa08 you had a movie about heroin and being a sex slave.. man you are a weird character	en				
1308	9.60E+17	9.60E+17	It is Long Island if they did heroin it wouldn't be out of place	en	Pacific Time (US & Canada)			
1311	9.60E+17	9.60E+17	"And this, kiddies, is why the nice doctor makes sure we’ve always got tramadol on hand. Because when we need it, we need it."	en	Adelaide	"Adjahdura/Narungga land, rural South Australia"		
1314	9.60E+17	9.60E+17	Indiana distributing opioid overdose kits to 34 rural counties	en	Pacific Time (US & Canada)	"George Town, Cayman Islands"		
1343	9.60E+17	9.60E+17	@stoolpresidente All ur ppl are hooked on opioids.... junkies. Nothin but junkies in NE u scumbag jew	en		"Philly, PA, USA"		
1344	9.60E+17	9.60E+17	If the Lions ever win the super bowl I’m shooting heroin	en	Quito			
1361	9.60E+17	9.60E+17	"@bugwuv ITS OK SWEETHEART I WILL BE YOUR

MORPHINE"	en	Pacific Time (US & Canada)	they/them		
1364	9.60E+17	9.60E+17	@smiffy Tramadol and I aren’t friends ends. Have never worked out why.	en	Melbourne	"Over there, somewhere!"		
1372	9.60E+17	9.60E+17	@Shaneobie25 @stoolpresidente Underrated tweet... all their ppl are junky oxy addicts but we go nuts after football.	en		"Philly, PA, USA"		
1377	9.60E+17	9.60E+17	"Tell my mom that I'm sorry
I just popped an Oxy"	en	Eastern Time (US & Canada)	OuchyAshleyGuidoVotrqLeanGoomy		
1381	9.60E+17	9.60E+17	"Uncle""just gotta let the dope an the heroin do the work to pass lie detectors"""	en				
1395	9.60E+17	9.60E+17	i'm not addicted to heroin because i only do it at night.	en	Eastern Time (US & Canada)	Shit-Kickerami		
1401	9.60E+17	9.60E+17	@westland_will Sportsball is the opiate of the masses.	en	Eastern Time (US & Canada)			
1423	9.60E+17	9.60E+17	Opiate kiss	en	Eastern Time (US & Canada)	texas		
1439	9.60E+17	9.60E+17	@MyLilMoni they gave me vicodin but i went to a plastic surgeon so idk i definitely needed it though	en	Pacific Time (US & Canada)	pdx		
1441	9.60E+17	9.60E+17	Heroin is a pos	en		"Virginia, USA"		
1447	9.60E+17	9.60E+17	Vicodin is the boss of this for me is being put to sleep	en		honor's subconscious		
1458	9.60E+17	9.60E+17	"Just like.... 
Nicotine
Heroin
Morphine"	en	Santiago	"Concepción, Chile"		
1463	9.60E+17	9.60E+17	I’ll never forget the time I sold this kid allergy medication and made him believe it was Percocet	en	Pacific Time (US & Canada)	Vaaaaall12🌝		
1472	9.60E+17	9.60E+17	thank gawd for hydrocodone	en		in your dreams		
1512	9.60E+17	9.60E+17	So many tension headaches lately ugh. Time for some more codeine	en	Pacific Time (US & Canada)	Vancouver		
1517	9.60E+17	9.60E+17	"""Insanity is doing the same thing, over and over again, but expecting different results"" -Narcotics Anonymous #quote"	en	Pacific Time (US & Canada)	No Calif		
1524	9.60E+17	9.60E+17	"Just like nicotine, heroin, morphine
Suddenly, I'm a fiend and you're all I need
🌙"	en	Beijing	zamb		
1549	9.60E+17	9.60E+17	@Heroin i don’t know mate	en		chs		
1559	9.60E+17	9.60E+17	"“Codeine, lucid dreams bitch I bleed lean”"	en		"Illinois, USA"		
1597	9.60E+17	9.60E+17	I took a codeine based tablet 4 hours ago and I’ve slept the whole 4 hours	en				
1604	9.60E+17	9.60E+17	Codeine I sip☔️while I’m smoking exotic 🌬⛽️	en	Pacific Time (US & Canada)	"First Street Southwest, DC"		
1624	9.60E+17	9.60E+17	codeine got me never coughin	en	Pacific Time (US & Canada)			
1645	9.60E+17	9.60E+17	"Time to get tough on opioid addicts 
Lock em up
Three strikes you're out
Don't through taxpayer money away on addicts
#Trump #opioidcrisis"	en				
1651	9.60E+17	9.60E+17	"kite street health centre supplies Orange police green lighted drug dealers with pills, methadone prescription drugs to sell on black market"	en	Sydney	ORANGE N.S.W.		
1659	9.60E+17	9.60E+17	@Heroin I'm not worthy enough	en	Pacific Time (US & Canada)	Chicago / HeLL 		
1661	9.60E+17	9.60E+17	@showupforthis take my pain medication before the pain gets REAL. i made that mistake once already last week 😅	en	Pacific Time (US & Canada)	"Los Angeles, CA"		
1678	9.60E+17	9.60E+17	@stackomeat And the fact that the heroin she OD's on is literally called Bojack ; _ ;	en	Mountain Time (US & Canada)			
1684	9.60E+17	9.60E+17	"Time to get tough on opioid addicts 
Lock em up
Three strikes you're out
Don't throw taxpayer money away on addicts
#Trump #opioidcrisis"	en				
1697	9.60E+17	9.60E+17	@clarencehilljr Wtf I thought Prince OD'd on fentanyl in his elevator . How did he get to the stadium . Does he even like Justin Timberlake	en				
1698	9.60E+17	9.60E+17	"@O2supply @RolfFunCycleIII It was just as Opiate was released...but they did play Prison Sex and Sober....oh, Swamp Song too."	en	Pacific Time (US & Canada)			
1708	9.60E+17	9.60E+17	Calling out narcotics unit???  Lol #phillypolicescanner	en		"Near East, Indianapolis"		
1711	9.60E+17	9.60E+17	In 2013 after an ankle fracture Hornsby Hospital tried to give me the narcotic analgesia meant for the patient in the next bed...	en		Sydney 		
1720	9.60E+17	9.60E+17	"""Is Narcotics still up there?"""	en	Beijing	Peep's Republic of Chabuduo		
1761	9.60E+17	9.60E+17	@BlueInRedCity @RolfFunCycleIII Lateralus my favorite. But Opiate is so raw. I guess with half of it being live but yeah it's great.	en	Central Time (US & Canada)	⬇in Mississippi & ⬆to no good		
1772	9.60E+17	9.60E+17	@docroland @HopesoupPaley @WriterMera @ThomasKlineMD Do you mean about how opiates help relieve chronic pain?	en				
1776	9.60E+17	9.60E+17	@hannahlcheney #ThatIsNice #PoliceScanner was also asking for the Narcotics Chief to come downtown; settle down #EaglesFans !	en		"Minneapolis, MN"	eagle	
1780	9.60E+17	9.60E+17	"Just like nicotine, heroin, morphine suddenly, I'm a fiend and you're all I need 🖤"	en	Central Time (US & Canada)	Second star to the right.		
1798	9.60E+17	9.60E+17	"@RainBlackKat No, you're just too powerful. Oxy can't suffuse into your blood because there's just too much gay energy, there's no room."	en	Pacific Time (US & Canada)		oxy	can't suffuse to blood
1808	9.60E+17	9.60E+17	"Blurring all the lines, you intoxicate me just like nicotine, heroin, morphine. Suddenly, I’m a fiend and you’re all I need."	en	Pacific Time (US & Canada)	Nicaragua		
1825	9.60E+17	9.60E+17	Codeine my medicine	en	Pacific Time (US & Canada)	Brawley I think 		
1843	9.60E+17	9.60E+17	"@suicideballoons I read this as ""the time we banned oxycontin."" I was like yeah that sucked ..ohhhhh"	en	America/Chicago	"Minneapolis, MN"		
1859	9.60E+17	9.60E+17	@RainBlackKat They game me tramadol after a tooth extraction but I felt like I couldn't breathe deeply while on it so I just took ibuprofen.	en			tramadol	could'nt breathe deeply
1860	9.60E+17	9.60E+17	@GS30543279 @TimRunsHisMouth This is all the proof you need that alcohol should be classified a Class VI narcotic and limited.	en	Pacific Time (US & Canada)			
1871	9.60E+17	9.60E+17	@jackmileshunt @ClarkeMicah The claim seems to be that no one has died of lack of opioid. So no dependence there.	en	Pacific Time (US & Canada)			
1890	9.60E+17	9.60E+17	They kicked me out the plane off a percocet	en	Pacific Time (US & Canada)			
1903	9.60E+17	9.60E+17	"Just like nicotine, heroin, morphine
Suddenly, I'm a fiend and you're all I need
All I need, yeah, you're all I need ✨"	en	New Caledonia	MNL		
1909	9.60E+17	9.60E+17	Im going codeine crazy	en	Pacific Time (US & Canada)			
1910	9.60E+17	9.60E+17	"Just like nicotine, heroin, morphine
Suddenly, I'm a friend and you're all I need
All I need, yeah, you're all I need ✨"	en	New Caledonia	MNL		
1924	9.60E+17	9.60E+17	George W. Bush's secret struggle with oxycodone addiction revealed #FreedomIsntFree #MAGA	en	Central Time (US & Canada)	Bunker		
1928	9.60E+17	9.60E+17	"Imaginary beliefs give you mental peace and relief, but so does heroin &amp; drugs. That doesn't make it right.

- Sir Richard Dawkins"	en	Pacific Time (US & Canada)		heroin&amp	imaginary belief
1929	9.60E+17	9.60E+17	"Insanity is doing the same thing, over and over again, but expecting different results. -Narcotics Anonymous"	en	Urumqi			
1934	9.60E+17	9.60E+17	"I need some late night medication, something to numb the pain."	en	Pacific Time (US & Canada)			
1959	9.60E+17	9.60E+17	"I do not use heroin again, so chow down!"	en	Bangkok	Titans East		
1961	9.60E+17	9.60E+17	Codine Crazy	en				
1970	9.60E+17	9.60E+17	Methadone is the shit tbh	en	Eastern Time (US & Canada)	"San Francisco, CA"		
1994	9.60E+17	9.60E+17	Methadone &gt;&gt;&gt;&gt; using heroin and destroying my life	en	Eastern Time (US & Canada)	"San Francisco, CA"	methadone	frustration
1996	9.60E+17	9.60E+17	@OnMyWayuh Yeah. Maybe a grain then. Heroin carbs.	en				
2004	9.60E+17	9.60E+17	"Just like nicotine, heroin, morphine
Suddenly, I’m a fiend and you’re all I need."	en	Mountain Time (US & Canada)	Mexico 		
2005	9.60E+17	9.60E+17	@aridkun alexa inject this fucking heroin	en	Pacific Time (US & Canada)	Darko Dante Nate 		
2028	9.60E+17	9.60E+17	So much pain. :( fuck my life. ER isn't gonna do shit. Thanks to Trump. And the stupid narcotic ban for chronic pain. 1st time I hate him 😊🔫	en	Central Time (US & Canada)	"Skokie, IL"		
2031	9.60E+17	9.60E+17	@dcpetterson Opioid addiction has this effect I'm amazed everyone is surprised	en		"Washington, USA"		
2041	9.60E+17	9.60E+17	if u a real friend bring me narcotics im over this ankle business they should have just cut it off and replaced it with a wheel or something	en	Pacific Time (US & Canada)	"Denton, TX"	social	
2065	9.60E+17	9.60E+17	percocet help me sleep through dis sad feelin	en	Central Time (US & Canada)	somewhere w/ nunu ❤️		
2071	9.60E+17	9.60E+17	Doctors warn some opioid users taking 100s of pills of Imodium to get high	en	Lisbon		opioids	get high
2073	9.60E+17	9.60E+17	"Opiates are a hell of a drug, but I bet I can find a cannabis strain that can mimic the effects of an opiate"	en	Arizona			
2100	9.60E+17	9.60E+17	Indiana Provides Opioid Overdose Kits Across State	en				
2112	9.60E+17	9.60E+17	"In terms of instant relief, finding out someone cute has an iPhone is like heroin."	en	Eastern Time (US & Canada)	DETROIT		
2120	9.60E+17	9.60E+17	"30mg of oxy , bitch I’m fuckin’ stuck"	en		lost	oxy	stucked
2136	9.60E+17	9.60E+17	@MappyTexas @Unpersuaded112 @realDonaldTrump Were you on opioids?  That would explain your lack of consciousness	en		"Minneapolis, Spoleto"		
2159	9.60E+17	9.60E+17	@barstoolhrtland Isn’t Philly the heroin capital of the US??	en	Pacific Time (US & Canada)			
2160	9.60E+17	9.60E+17	That pussy so good like codeine 🤤	en				
2170	9.60E+17	9.60E+17	I'm letting this Dr. give me a percocet bc my BP is so high. I hate opiates but I hate migraines more.	en	Eastern Time (US & Canada)	Hiding from Pres #45 in NY		
2185	9.60E+17	9.60E+17	A thing in which I describe Dave as some sort of methadone service for women who like …	en				
2193	9.60E+17	9.60E+17	"in terms of like, instant relief, cancelling plans is like heroin. it is an amazing feeling."	en	Eastern Time (US & Canada)	aruna		
2210	9.60E+17	9.60E+17	"Pfft, Dayton burns cars like every night and we don’t win anything but Heroin Overdose Capital of the US. 

Don’t see us bragging."	en	Eastern Time (US & Canada)	"Dayton, OH, USA"		
2223	9.60E+17	9.60E+17	And the reasons? There are no reasons. Who needs reasons when you've got heroin?	en	Pacific Time (US & Canada)	"Frankfurt am Main, Alemania"		
2227	9.60E+17	9.60E+17	"fuck life, wheres the heroin?"	en	Perth	New Zealand		
2231	9.60E+17	9.60E+17	fell in love Witt narcotics and been out my mind err since 🦅🐐	en			narcotics	loss of consciousness
2239	9.60E+17	9.60E+17	good morning i dreamt that i kissed my crush and he said Ew who wants to shoot some fucking heroin	en	Pacific Time (US & Canada)	🇮🇹		
2245	9.60E+17	9.60E+17	Codeine still in my piss	en	Atlantic Time (Canada)	Trenches		
2266	9.60E+17	9.60E+17	Benzos save my life	en	Pacific Time (US & Canada)			
2280	9.60E+17	9.60E+17	In love with the benzos	en				
2321	9.60E+17	9.60E+17	"painsomnia. it's like insomnia but while wondering ""is this bad enough that I should take a percocet?"""	en	Eastern Time (US & Canada)			
2362	9.60E+17	9.60E+17	the percocet &amp; stripper joint	en	Eastern Time (US & Canada)	KC		
2378	9.60E+17	9.60E+17	@NVTVL No if you’re going thru the airport that’s federal custody aka weed is considered a narcotic and if you’re caught it’s a felony	en	Pacific Time (US & Canada)			
2390	9.60E+17	9.60E+17	One can't hear too many verses off this codeine	en	Pacific Time (US & Canada)	SouthAtlanta|GulfCoast		
2392	9.60E+17	9.60E+17	@CCbucko @naaadnerb Yeah but the heroin didn't help.	en	Brisbane			
2410	9.60E+17	9.60E+17	@AIIAmericanGirI @BreitbartNews Whoopi is a has been heroin addict	en		"Camp Hill, PA"		
2436	9.60E+17	9.60E+17	seem like codeine is the one thing that help take my mind from the lies	en	Alaska	615-North Nashville		
2437	9.60E+17	9.60E+17	"@Jim_Tompkins559 @LIVE_COVERAGE @Mucinex What is ""hydrocodone?"" What is ""Mucinex?"" Is Mucinex the same thing as hydrocodone?"	en	Pacific Time (US & Canada)	"Bakersfield, California"		
2439	9.60E+17	9.60E+17	"@Heroin I’ll be at our house in abt an hour, im gonna have to beat his ass."	en	Tokyo	LA		
2442	9.60E+17	9.60E+17	give me some heroin already I got nothing to lose anyway	en	Beijing			
2448	9.60E+17	9.60E+17	@CNN Let’s talk about Fentanyl. Anyone remember what Britain and the US were doing in China in the 19th Century?	en		United States		
2452	9.60E+17	9.60E+17	"I can't believe someone called 14 year old me a ""neo goth dream grunge baby face""
I was on BENZOS"	en	Eastern Time (US & Canada)	Moon		
2460	9.60E+17	9.60E+17	@JohnnieShedric1 @Brandonjoze10 @jalenthacraetor @FINFANJ73 @ShannonSharpe Are you on heroin?	en		Chick-fil-A		
2480	9.60E+17	9.60E+17	Starting the week on a codeine diet...money all the way	en	Amsterdam	"Lords Arena, MP"		
2487	9.60E+17	9.60E+17	@JC_in_Calgary @bradlinn Maybe a PBR and a Percocet.	en				
2491	9.60E+17	9.60E+17	im goin codeine crazy	en				
2517	9.60E+17	9.60E+17	"Now Playing, James Brown — King Heroin (The Instrumental) from Mellow Mellow Vol.2: Original 1970's Smooth Grooves &amp; Chilled Breaks/the Fee"	en	Central Time (US & Canada)	"Traverse City, MI"		
2537	9.60E+17	9.60E+17	"@Skyior lord, put the opioids down."	en	Eastern Time (US & Canada)	"Washington, DC"		
2547	9.60E+17	9.60E+17	@larapinsbiz you sound stupid.  Put the opioids down and clean your mobile home	en	Eastern Time (US & Canada)	"Washington, DC"		
2564	9.60E+17	9.60E+17	"""Sports something something opiate of the masses something..."""	en	Eastern Time (US & Canada)	"Jersey City, NJ"		
2571	9.60E+17	9.60E+17	@robyngallagher a whole box of it. I wish I'd bought codeine in Mexico	en	Wellington	Wellington		
2580	9.60E+17	9.60E+17	"Percocet pill on me, Ice in my heart' baby chill with me'."	en				
2583	9.60E+17	9.60E+17	@BradInYYC @_LaineyBoggs_ @bradlinn Extra Old Stock and an oxycontin ?	en	Pacific Time (US & Canada)	Calgary		
2612	9.60E+17	9.60E+17	I’m codeine dreaming	en	Athens	"Madrid, España"		
