Text	Country by Zone	Country by Location	Lang	Drug	Annotated Text	Semantic Type
@HueJahFink I'll be okay. I'm necking codeine and watching a documentary about minimalism like a right ponce	London	Newcastle	en			
You ever had an in-depth conversation about how amazing “Codeine Crazy” is while eating Starburst Minis?	Quito	919/336	en			
"I love codeine, i love my bitch, we’ll see you in Heaven"			en			
"Codene,get a sip#PoorLifeChoicesIn4Words"		"Harare, Zimbabwe"	en			
Comes to something when even codene won’t get rid out the pain of cramp 😭	Amsterdam		en			
@Faatima_07 Codene	Hawaii	Jhb 	en			
"@AineCarson1 I’ve a mouth abscess &amp; am on Amoxicillin. And Codene. And rum. 
I’ll either be obnoxious or comatose. 
Hope for the latter."		Belfast	en			
@BigBenMotoVlogs Do you know if it's enzyme CYP-2D6?  It's know to make any codine based pain relief ineffective.		"Wales, United Kingdom"	en			
"Ask Alomo the truth is Bitter
Ask codine💊 success is Slow
Ask weed🍁dreams are High"		"Lagos, Nigeria"	en			
@Itz_Konani Best way to learn it to be on a codine diet...		"Lagos,Nigeria"	en			
Contemplating the potential for a reality tv show about child celebraties turned addicts called “The Secret Life of Zack and Codine”		"Swarthmore, PA"	en			
I'm codine dreamin		diamond city	en			
Broken wrist so no training even struggling to do spin class can't hold on 😡😡one unhappy bunny +side codine is not bad 😂		aberdeen	en			
#IfMenWereGod Jesus will be on earth slowing on a codine diet	Pacific Time (US & Canada)	"Lagos, Nigeria"	en			
Mmm. Diazepam and 30mg codine. Takes the edge off a bit.	London	A sad little rock near Europe	en			
@CassandraRules Codine Cough Syrup		#2ndAmendment #MAGA #Trump	en			
@CassandraRules Codine	Arizona	El A	en			
"@Gacheru_Wangai The neurosurgeon was on a codine diet. 
#saintsamiganja
#smile 
#laugh"	Pacific Time (US & Canada)	Lagos	en			
"“You fell in love wit a nigga drinkin Codine. How you gon fall for a nigga drinkin Creatine?”
😂 Nah yo..."	Eastern Time (US & Canada)	"Philadelphia, PA"	en			
#BBNaija why will you take codine and smoke weed at d same time and tell me you are watching BBN from your TV bro u are seeing from above			en			
@pita88694867 @jason_zaram @IAmMooree @orangee1580 @BBNaija He can fly wen he is  on codine diet let him be pls its hard to explain to them			en			
@fash_ngobese Two white cup full of codine and plus I've got two white sluts down to blow me		"Cape Town, South Africa"	en			
@ericbolling What is Opioid? Is it Codine? Is it Meth? What pills do we look for? What devices?		Northern CA	en			
"🎵Codine dreaming it comes thru thru, that's my spaceship Blu Blu, my milky-way got pregnant she said it's for yoo-hoo 🎵"		"Florida, USA"	en			
Awake in a codine haze worrying that the house will fall down in the wind. Just your average Friday morning really.		"Croydon, London"	en			
@charles04214862 @JoeMalcolm97 @PaulDock93 @WeeDannyMcManus @kylechristie0 Shut up codine		"Paisley, Scotland"	en			
Slow down on a codine diet	Alaska	"Lagos, Nigeria"	en			
arsenal player's are on codine diet	Arizona	Lagos	en			
I used to think my mom and I were odd because we don’t react “right” to drugs like Sudafed or Codine. Now I know it’s cause we’re not men.	Mountain Time (US & Canada)	"Five Points, Denver, Co"	en			
"@Ali_McHenri Was on a codine level...
wen I heard gun shots, I thought I was running very fast buh I was just on a fucking spot dat day...."		"Suru, Nigeria"	en			
@Akiishic Let Bbnaija provide codine and weed for them biko.		 Nigeria	en			
Cameraman on a codine diet low key misbehaving#BBNaija	Athens	Nigeria	en			
@ReadHollyWood @DallasSansom Try fentanyl on them		"Coal Creek,Oklahoma "	en			
"@keepitrealrn Insulin, Heparin, Fentanyl, &amp; Morphine gtts. PCA pumps."	Eastern Time (US & Canada)	"Wilkes-Barre, PA"	en			
"Fentanyl: See boys? That's how you sprinkle a plague of despair on Sault Ste Marie
Donald Trump: Hold my beer"	Atlantic Time (Canada)	"Toronto, Ontario, Canada"	en			
@cselley @jonkay You must have missed that critical point about the Chinese manufacturing of fentanyl. It's okay. Read twice next time.	Pacific Time (US & Canada)	"Toronto, Ontario"	en			
"@CamEdwards First, Kroger sells fentanyl? 
Second, can we address several problems at once? Yes. Yes we can."		"New Jersey, USA"	en			
@najcess Hydrocodone I sold most of em		snap - state.trapper	en			
this hydrocodone has kept me knocked out 😴	Quito	Miranda's Heart 	en			
"How to deal with anxiety: pop a hydrocodone, muscle relaxer, Benadryl and 1 NyQuil tablet oh... and your useless anxiety medication too 🙄"			en	hydrocodone	anxiety	indication
This is messed up but I have no other option. I'm gonna take a hydrocodone for my back pain.I was prescribed it before.	Mountain Time (US & Canada)	"Cydonia Valley, Mars (Utah)"	en	hydrocodone	back pain	indication
"@enbeetle @DanyxAC @trgrrl I did just take a hydrocodone because of my shoulder but it hasn’t kicked in yet, I’m just bein’ BAD 😎"	Pacific Time (US & Canada)	In a fucking sling	en			
Took a hydrocodone lmao and it aint do shit to me .. 😭😭	Arizona	803 ➡️ 334	en			
i took one hydrocodone and i feel good af		Amish	en			
@RSantosTV They didn't give you 800 mg Ibuprofen or Hydrocodone?	Central Time (US & Canada)	210 is home.	en			
"@realDonaldTrump my husband takes hydrocodone for his arthritis, but my son was addicted to heroin. see the difference?"			en	hydrocodone	arthritis	indication
"@realsenorfap I'd be a fool to not admit the methadone helps alot, but without weed I wouldn't be able to do it either"	Eastern Time (US & Canada)	"Buffalo, NY"	en			
@indystar we give junkies safe houses.clean needles.. methadone clinics.. but no house of prostitution... that's where we draw the line.LMAO			en			
Have Depression?Yes?You suffer from NPD.This causes a catatonic state.Try Methadone			en	methadone	catatonic state	indication
Methadone saves lives??? Tell that to the family who got killed on Boxing Day  #MardiGras40	Sydney	OZ	en			
Have recurrent procrastination?Yes?You suffer from Histrionic Personality Disorder.This causes a total eclipse of the heart.Try Methadone			en	methadone	 Histrionic Personality Disorder	indication
@GeoLaird4Pollok Are you on a methadone programme?	London	"Aberdeen, Scotland"	en			
“Look I’ll do the methadone Macarena”			en			
You takin morphine homie you a moronnn			en			
"@keepitrealrn Insulin, Heparin, Fentanyl, &amp; Morphine gtts. PCA pumps."	Eastern Time (US & Canada)	"Wilkes-Barre, PA"	en			
Give me morphine @byHawkz_		"Amstetten, Deutschland"	en			
"Just like nicotine, heroin, morphine🎶🎵"	Pacific Time (US & Canada)		en			
you takin morphine homie you a moron	Belgrade		en			
@lights please play morphine in boston tonight 🧡			en			
Why am I cursed with the WORST CRAMPS IN THE WORLD give me morphine😢😭		"Scugog, Ontario"	en			
@Dawson6211 @allahpundit @KLC22296984 I wish they'd flood deplorable areas with more oxy.		"Chicago, IL"	en			
"Why do people refuse to detach themselves from extended family? 
When you marry, that’s your family now"	Pacific Time (US & Canada)	In rice.	en			
“Do not be afraid to rebrand yourself”	Eastern Time (US & Canada)		en			
Back is in so much pain I just took expired oxycod 👌	Arizona	"Prescott, AZ"	en			
@GoodieM8 Yup I love oxycodone he's so cool	Pacific Time (US & Canada)	Hong Kong	en			
Oxycodone is online	Pacific Time (US & Canada)	Hong Kong	en			
@MandyLovesPTX I’m full of oxycodone so I’m hiiiiiiiigh		On the Spectrum 🌈	en			
@bluelilly40 @realDonaldTrump Oxycodone doesn’t help for pain.. it knocks you off your feet.. true when you sleep 24/7 you don’t feel pain		"Wahiawa, HI"	en			
"#Morphine may increase cancer recurrence, but #oxycodone and #tramadol may not. Not all #opioids are created equal."		"Adelaide, Australia"	en	morphine	cancer recurrence	ADR
this oxycodone the doctors got me on really something different		ruining somebody's son life 	en			
"roses are red
I have the spins
Oxycodone in bed
A good nights sleep for the win"	Pacific Time (US & Canada)		en			
@JaneyTheSmall Seems I took 30mg of oxycodone at once.	Melbourne	"Somewhere between T & Q , Melbourne, Australia"	en			
"@clinteas @coopesdetat @ketaminh In Australia, oxycodone syrup is used for kids’ analgesia - much better than painstop!"	Sydney	"Tenambit, Maitland (NSW)"	en			
 I've tried many things the last 35 years to F128relieve  migraines. Only oxycodone helps. Last resort for Docs not 1st.			en	oxycodone	  migraines	indication
@TuckerCarlson I'm a 68-yr-old woman. I've had chronic migraines for over 35 years &amp; oxycodone is my only relief. Getting harder to get!			en			
@clinteas @coopesdetat @ketaminh oh and I work in Australia. Oxycodone is used here in children. #justagp	Perth	"Mt Barker, Western Australia"	en			
@coopesdetat @ketaminh What country lets you give Oxycodone to children? In AU can't even use Painstop.	Melbourne	"Queensland,Australia"	en			
@aterkel @chrislhayes @jamieson Clean energy jobs or oxycodone  they chose			en			
Guys .. oxycodone is the shit. I feel NO pain when I take it #lifesaver	Eastern Time (US & Canada)	Hogwarts	en			
@Quakes98 almost done that when taking oxycodone after knee surgery . oup	Pacific Time (US & Canada)	up the wazoo	en			
@Lemieux_26 @LukeGromen Mostly picked up an unhealthy love for amphetamine and to come down they landed with oxycodone.		Earth	en			
" Looks like an extreme forehead lift and a shit ton of subsequent Botox. And, maybe about 100mg of Oxycodone..."		Indiana	en	oxycodone	extreme forehead lift	ADR
@greggutfeld  you are absolutely right. It’s my greatest fear. I have been taking oxycodone and morphine for almost 13 years.		"South Carolina, USA"	en			
@thehill The trailer folk really started enjoying oxycontin when they realized that their Medicaid would pay for it...	Eastern Time (US & Canada)		en			
@DemocracyNowEs I am guessing that includes the company that makes OxyContin?		Honduras	en			
Sound a popular song bragging about Percocet usage be banned from the radio? It’s that the same as the NRA to liberals? @cspanwj	Eastern Time (US & Canada)		en			
@TheGr8Landino You should send snaps of you in rehab or in an ambulance that one time you overdosed on Percocet	Mountain Time (US & Canada)	United States	en			
Percocet hit you so hard night drop ya juice n gin	Central Time (US & Canada)	WALL STREET 	en			
"a chatterer is a polypharmacy: axiomatical, yet reproachless"	Pacific Time (US & Canada)		en			
"Polypharmacy can certainly contribute to constipation issues: A few common classes that cause constipation - TCA's, Opioids, CCB's #pharmacy"		Minnesota	en	polypharmacy	constipation	ADR
@DrHollyHolmes @novacarerx Pharmacist need to step up to the plate more when they see this kind of Polypharmacy and more legal Say also.			en			
@novacarerx True!! The game of inappropriate polypharmacy one-upsmanship is very dangerous!!!	Eastern Time (US & Canada)		en			
@ACMilandrew @VICO_VNO Harsh😂			en			
@VICO_VNO @ibetapassmynebo One retweet since morning. Na wa.	London		en			
This Vicodin gives me some vivid freaking dreams #makeitstop			en			
sweet holy hell kim kardashian’s fashion sense needs to take a vicodin STAT	Pacific Time (US & Canada)		en			
So essentially I dreamt about sleeping on Vicodin while sleeping on Vicodin. 🤔	Central Time (US & Canada)		en			
"Ugh you know it's a hard night when it takes cannabis, baclofen, and vicodin just for a wink of sleep. #chronicillness #chronicpain"		"Orange county, California 🌴🌞"	en			
This squirrel needs Vicodin!	Pacific Time (US & Canada)	"Oklahoma, USA"	en			
"I just took some Vicodin that expired in 2011, the internet says I’m okay but I don’t believe “them”"	Pacific Time (US & Canada)	United States	en			
@ModeratelyOkCos Get ready to praise that Vicodin my dude	Pacific Time (US & Canada)	Vored by orochimaru	en			
I need some Vicodin and a bottle of Jack.		"California, USA"	en			
"I need chocolate, a heating pad, Vicodin, and someone to finish my chemistry homework."		"Artesia, CA"	en			
I can already tell I’m not fucking with this Vicodin	Quito	Somewhere In The Middle Of You	en			
@Tim_Seeman Not a big deal. Just the vicodin talking.	Central Time (US & Canada)	"Appleton, WI"	en			
"@JETTEATSASS yeah. you’re probably too old. you should take a vicodin and go to bed, old man."	Pacific Time (US & Canada)	hustlerhq.	en			
"Vicodin doesn't cause rash, fever and joint pain. Does make Taub considerably less annoying."			en			
the vicodin is getting to me someone stop me from buying this jaclyn hill palette			en			
"@iits_kennedy19 I had my tonsils infected 3 times. I got put on Vicodin, steroids and a Tylenol. It was the worst. I just slept all day."		"Reedsburg, WI"	en			
@Jackson919 Only percocet you can drink with alcohol. You can't drink alcohol with vicodin because don't be a pussy. Go big or go home	Quito	Here I be 	en			
I could down a whole bag of Cheeto puffs right now.......Vicodin has totally kicked in. 🙄🙄🙄🙄	Eastern Time (US & Canada)		en			
@gongfy @hardhouz13 Probs hurts a lot less now with the vicodin than it did before out. Congrats to pain free big toes!	Pacific Time (US & Canada)	"Gainesville, FL earth"	en			
"@TRUMPARMY2020 Take two bottles of Vicodin and call me in the morning, if you wake up!"		"Indiana, USA"	en			
"i took vicodin because my stitches fell out, so i'm chatty."	Eastern Time (US & Canada)	nj	en			
@kica333 I before e except after analgesics. Duh.	Eastern Time (US & Canada)	Atlanta	en			
"The rupture of an ovarian cyst is usually self-limiting, and only requires expectant management and analgesics."	Kyiv	Newcastle	en			
@good_grandma @NBCNews Neuropathic pain not responding to non narcotic analgesics..			en			
"Although medicines are commonly prescribed for the treatment of sciatica, evidence for analgesics is poor."	Kyiv	United States	en			
Two analgesics and needed.			en			
@BTS_ARMY_INT @BTS_twt Aww did you try taking analgesics? #BTSARMY #iHeartAwards #BestFanArmy @BTS_twt		Cosmos	en			
I’m so thankful and greatful for analgesics. 🙏🏻		"Riyadh, Kingdom of Saudi Arabia"	en			
Specific agents such as triptans or ergotamines may be used by those for whom simple analgesics are not effective against a migraine.	Bucharest	London	en			
Initial recommended management of #migraine is with simple analgesics such as ibuprofen and paracetamol for the #headache.	Bucharest	London	en			
Would you support Death penalty for narcotics traffickers/dealers?	Pacific Time (US & Canada)	"Texas, USA"	en			
"“Insanity is doing the same thing, over and over again, but expecting different results.” 
― Narcotics Anonymous, Narcotics Anonymous"	Bangkok	WORLD	en			
#IRGC to help #Iranian government in anti-narcotics fight:  spokesman	Tehran	"Iran, Tehran"	en			
@thenotoriousEKB Opiates. I don't like it when we get caught up in white people's drugs. This is not what we do.	Quito	the Future	en			
"@business @BV Alcohol, opiates and guns all kill. Marijuana doesn't. Yet only weed is illegal. Why? Powerful Lobby's."	Atlantic Time (Canada)		en			
(If you’ve ever needed opiates for a few days you know what I’m talking about and poop is just not happening so I’m like half dead rn.)	London	Cosplay @abirdofhermes | FFXIV @artimisiachecco	en			
"@business @BV Alcohol and tobacco are not tax free, opiates and other illegal drugs are.
The government has blood on their hands."	Brussels	"Brussels, Belgium"	en			
@cselley Possibly because Kenney would lump MJ in with opioids?	Mountain Time (US & Canada)		en			
"Republicans -
Gun debate: don't punish law-abiding people for actions of others
Opioid debate: stop all these medications now!
?????"	Eastern Time (US & Canada)	"Charleston, SC"	en			
"@indigoace40 Yes, he's on two different pain medications and also has a patch on his wound to help with the pain!"		"Washington, USA"	en			
"@ShannonBream Very complicated, but swinging the pendulum to NOT providing necessary medications for chronic pain is not the answer!!!"	Pacific Time (US & Canada)	"eugene, oregon"	en			
@Forever_Benzos @MattNelson34 Thank You Grabrielle so much sorry for the late reply my Account Got Locked Out So I’ve a New Account!		Shreveport / Dallas / NYC 	en			
lil xan freaks me out. why this 7-year-old have a darker past with benzos than I do	Central Time (US & Canada)		en			
@EROTICADOLL been thru mdma-benzos-codeine-coke-alcohol.. waiting on the next there always is!	London	ig xbrand6n 	en			
I need a bottle of benzos and a drink to wash them down lol	Arizona		en			
Aye do you commit sexual misconduct in solving a fat rip off 6 benzos		Afghanistan	en			
@hxhsharingan666 oh my benzos are separate i have an insomnia med thats just rando and for sleep only	Atlantic Time (Canada)		en			
@Harold170600 Alcohol number one gateway drug brother but don't try weed cos u might end up injecting heroin into your a$$	London		en			
Shouldn't the CIA and MILITARY  at least be recognized for record amounts of heroin production in Afghanistan?		"Mueang Pattaya, Thailand"	en			
"@Way_from_Way @fingurlECG @smarmosaurr @NRA It’s like saying “heroin doesn’t kill people, drug dealers do”"	Casablanca	Manchester	en			
@SIMHADRl Heroin bagundhi and konni mass scenes 👍		"Phagwara,Punjab-Madanapalle,AP"	en			
1st Half Ext Time Kick off SAB 1 - 1 JDT	Alaska	"Sabah, Malaysia"	en			
@bri616 HEROINS FOR THE HEROIN GOD	Eastern Time (US & Canada)	AAARRGH	en			
@likeaglock nobody wants to see a british heroin addict		inside of @jjjaycie	en			
@miscreant_G @ClaireD15462697 Naloxone yellow that Garreth? #alwaysthinking! #Congrats		"Barnsley, England"	en			
@PharmaFactz 9) Naloxone- opiods		Port Elizabeth/Bizana	en			
I got my #Naloxone kit 🙏🏿🧘🏾‍♀️ just in  case	Eastern Time (US & Canada)	Brooklyn	en			
@BeaglePasha Wees take Tramadol too!! 😂😂		"Houston, TX"	en			
Fucksake. I need 12 Tramadol after listening to 90 minutes of Mark McGhee on 12 Tramadol.	Amsterdam	Glasgow via New Zealand	en			
"Popular Nigerian pastor arrested with tramadol, guns, N4 Million (PHOTOS)"	West Central Africa	Nigeria	en			
@jings_crivens_ @SkySports @CelticFC @willi I thought he was on tramadol	London	"Glasgow, Scotland"	en			
"And vege tramadol morbidity
Setup"			en			
Had enough of all the morphine and Tramadol :(	Tokyo		en			
tramadol cap hits me so hard		BGC taguig	en			
@biscuit_pup I have to be DESPERATE to take tramadol. Oramorph doesn’t work. IV morphine does but the world melts like a Dali.		"England, United Kingdom"	en			
@BeaglePasha Tramadol is scary bunnies stuff. We sending mum loads of cuddles and massive get well wishes and love 💕	Casablanca	Gloucestershire	en			
@biscuit_pup Tramadol &amp; morphine don’t agree with me. Awful visual disturbance.		"England, United Kingdom"	en			
Hello tramadol my old friend 🎶	Eastern Time (US & Canada)		en			
Wow I need tramadol	Pretoria	Pretoria || Cape Town 	en			
Shan't I switch to tramadol like this 😭	West Central Africa	My world.	en			
this tylenol w/codeine has been really messing with my motivation lately	Eastern Time (US & Canada)		en			
@_Siarramarie Damn you a savage they gave me an antibiotic and some Tylenol with codeine that don’t work at all		United States	en			
I took 2 Tylenol with codeine. I saved them from when I had my wisdom teeth out but this shit is fighting through that! Omg I’m dying.	Mountain Time (US & Canada)	my feelings	en			
Tylenol with codeine coming through rn		🤘🏼	en			
@___AyeJay @LittleBit_Much @iMJustDestinee Thank for Tylenol with codeine			en			
"Me: ugh I have a migraine 
Mom: I have ibuprofen, Tylenol with codeine, and norcos 
Me: can I have all 3"	Pacific Time (US & Canada)		en	Tylenol	migraine	indication
"@Bethenny One ibuprophen, one Tylenol, unless you have Tylenol with codeine  (over the counter in Canada. God bless Canada.)"	Pacific Time (US & Canada)	Washington State	en			
@t2heartbroken and I didn’t for tylenol with codeine hmmm idgi	Central Time (US & Canada)	United Kingdom	en			
"@jordanweeb If this Tylenol with codeine doesn't work for me, maybe I'll try your brand"	Pacific Time (US & Canada)		en			
Which one better Tylenol with codeine or IB 800 mil		Georgia	en			
"@kenzie_young17 If you wanna come to Deckerville, i have Tylenol 3 (with codeine)"		"Deckerville, mi"	en			
@flyddw Apple juice &amp; Hydromorphone ;-)	Central Time (US & Canada)	Migrating	en			
Force fields up Arm photon torpedoes hydromorphone getting glassed crystal joint #AlexThat Alexie Slatta Just got KWD-INU-PRF-1803020605	Eastern Time (US & Canada)		en			
Hello hydromorphone.	Central Time (US & Canada)	Migrating	en			
fuck a lil xan lil hydromorphone	Eastern Time (US & Canada)		en			
EIGHT milligrams of hydromorphone?! Are you kidding me?!  #my600lblife	Central Time (US & Canada)	"Crapitol, Kansas"	en			
"#ACSPIB
How addictive is hydromorphone and buprenorphine?"			en			
U ever snort 3 hydromorphone wit ur bitch in Santa Monica??	Central Time (US & Canada)	817 TX	en			
This dromedary needs Oxymorphone!	Pacific Time (US & Canada)	"Oklahoma, USA"	en			
This canary needs Oxymorphone!	Pacific Time (US & Canada)	"Oklahoma, USA"	en			
@kica333 I before e except after analgesics. Duh.	Eastern Time (US & Canada)	Atlanta	en			
"The rupture of an ovarian cyst is usually self-limiting, and only requires expectant management and analgesics."	Kyiv	Newcastle	en	analgesics	rupture of an 	indication
@good_grandma @NBCNews Neuropathic pain not responding to non narcotic analgesics..			en			
"Although medicines are commonly prescribed for the treatment of sciatica, evidence for analgesics is poor."	Kyiv	United States	en			
Two analgesics and needed.			en			
@BTS_ARMY_INT @BTS_twt Aww did you try taking analgesics? #BTSARMY #iHeartAwards #BestFanArmy @BTS_twt		Cosmos	en			
I’m so thankful and greatful for analgesics. 🙏🏻		"Riyadh, Kingdom of Saudi Arabia"	en			
Specific agents such as triptans or ergotamines may be used by those for whom simple analgesics are not effective against a migraine.	Bucharest	London	en	triptans	migraine	indication
Initial recommended management of #migraine is with simple analgesics such as ibuprofen and paracetamol for the #headache.	Bucharest	London	en	ipbuprofen	migraine	indication
"AstérX
Drdoud (iPhone de Doud's Home) started playing Narcos - Explosivos."	Paris	DTC	en			
Im sick and Im not happy about it 😐	Pacific Time (US & Canada)	"Sammamish, WA"	en			
@SuperAj239 Awesome bro!	Pacific Time (US & Canada)	FL	en			
"@codefortier @KollegeKidd yes fuck that cunt, grow up cody"	London		en			
Eating a potato chip with more than one bite is a clear indicator of a psychopath. Use caution when engaging. #mindhunters		"Panama City Beach, FL"	en			
"Now stopping in Fayetteville, AR. Next stop will be Rogers Bentonville. Approximately 7 minutes."	Central Time (US & Canada)		en			
I bought a shotgun at like 1:30 am this morning😂		Brookville.	en			
"@CJLLonewolf I am surprised you did not write, ""Cody is on a t-shirt bitch!!"""	Central Time (US & Canada)		en			
Everyone wanted to be Secret Agent Cody Banks  dont lie	Quito	Murdaland - MI	en			
@Jammas444 @SensChirp -32 Cody Ceci (Career NHL stats) must be all those coaches...🙄		"Greater Napanee, Ontario"	en			
@teendmswolf I have 1 Cody c		proof in likes 	en			
Central FL bout to be hot soon...	Atlantic Time (Canada)	"Florida, USA"	en			
You learn from the bridge you burning when you see it burning 🔥	Atlantic Time (Canada)	"Florida, USA"	en			
@Ex_Stu_TJ Hurrrd you 🙏🏽	Atlantic Time (Canada)	"Florida, USA"	en			
@Codaine Anytime bro 💯✅ that WYA dope and u did the beat which is crazy also. Let me know when u have heat for sale 💯✅✅👍🏾		"ATL, LA, NYC, TO, MIA, WAYX"	en			
"@Ex_Stu_TJ Thank you, I appreciate it"	Atlantic Time (Canada)	"Florida, USA"	en			
"@Codaine wuz good bro, just heard some 🔥🔥🔥 from u 💯💯📡📡"		"ATL, LA, NYC, TO, MIA, WAYX"	en			
I'ma die alone. 🖤	Atlantic Time (Canada)	"Florida, USA"	en			
Love don't live here anymore. 💔🥀	Atlantic Time (Canada)	"Florida, USA"	en			
@Codaine Thank youuu ❤️	Atlantic Time (Canada)		en			
The truth dead always comes out to the light	Atlantic Time (Canada)	"Florida, USA"	en			
I see how they really rocking with me. Use me for what I can do 🚶 lonely road to the top fr.	Atlantic Time (Canada)	"Florida, USA"	en			
Young bull.	Atlantic Time (Canada)	"Florida, USA"	en			
