Text	Country by Zone	Country by Location	Lang	Drug	Annotated Text	Semantic Type
@AbuDawoud_ @Rx_Khaleel What about codeine?? 🤔			en			
@mcrtabak He look like cody herbinko and wes tucker's son lmao.	Pacific Time (US & Canada)	rp [ooc]	en			
@OmarsPriv Looooooool some narcos fresh off the production line gram sealed in gold 😂	Pacific Time (US & Canada)	North London	en			
@nicolealx just leave Cody in the outskirts of town	Urumqi	Sorsogon / Manila	en			
"Nylander, Matthews and Marner are all in the 120s already for All Time Points. (Amongst Uncle Leo &amp; Cody Franson)"	Amsterdam	"Pembrokeshire, Wales"	en			
"It's surprising how high up Cody Franson is in all of these, during such a dark time for the Leafs."	Amsterdam	"Pembrokeshire, Wales"	en			
Is cough syrup with codine suppose to make me tired? Because I feel wide awake 🙄	Arizona	"Tempe, Az"	en			
@mhhokay fentanyl	Bratislava		en			
"Three Used Heroin Needles Outside My Flat, For Fuck Sake"	Casablanca	"Glasgow, Scotland"	en			
Comes to something when even codene won’t get rid out the pain of cramp 😭	Amsterdam		en			
"nicotine
heroin
morphine"	Hong Kong	Makati City	en			
#Narcos  the first person to smoke marijuana was a Chinese Emperor💂		"Kisii, Kenya"	en			
"Just like nicotine, heroin, morphine
Suddenly, I'm a fiend and you're all I need"			en			
@mrmjprice @jkin1990 The problem with things like naproxen and tramadol is they are anti inflammatories which can slow bone repair :(	London	Frome	en	tramadol	slow bone repair	
Cherry 7up + jolly ranchers + Promethazine and codeine is so fucking good for no reason		"Seattle, WA"	en			
@d_wolff Those codeine prices 📈📈	Perth	"Perth, Australia"	en			
cody really is just... going insane	Melbourne	aus	en			
@InsertCoinTees Cody  (because game codes &amp; cold &amp; coin)	Pacific Time (US & Canada)	Deutschland	en			
#Narcos He burned the plant because he was attracted to its smell👤		"Kisii, Kenya"	en			
#Narcos But when he inhaled the smoke he saw a blue jay➿		"Kisii, Kenya"	en			
Randomly just tried heroin its good looking			en			
#Narcos And the bird told him to conquer the neighbouring empires🔱		"Kisii, Kenya"	en			
@cody_hur Cody *my voice was a little more demonic* what are you doing *I stare at you with my roght eye being red*	Adelaide	Unknown	en			
@d_wolff @nattydb My client just announced they're now checking for codeine in their D&amp;A process	Perth	"Perth, Australia"	en			
"@Shellysings2 @TeamJody15 @JustinClassic1 Cody is a true boyscout &amp; back in the day he'd be called a John Wayne, Straight Shooter 👏👏👏👌👍💪🙏"			en			
"@ericbolling @sullydish Great article. By examining the history of opiates, it can teach us strategies for the future."			en			
@codywinnell Carriage Cody but nice try		"Ballarat, Victoria"	en			
Providing a safe supply of pharmaceutical-grade #opioids to people at highest risk of overdose could prevent more deaths. #TipTuesday @CMAJ	Pacific Time (US & Canada)	"Halifax, Nova Scotia"	en			
Someone send help and morphine.	Pacific Time (US & Canada)	"San Antonio, TX"	en			
@justapedn Wasn’t she supposed to be tackling the opioid addiction issue? Looks like she sampled a few of them herself.		United States	en			
zachairy heroin makes me very soft but i’m never gonna admit it 😤		goj™ | wdwsd™ | wwfg™	en			
UK National Grid: #Large #Hydro is currently generating 0.43GW (0.88%) out of a total of 48.65GW		unit	en			
you’re my tylenol when my head hurts 💞		"Guam, USA"	en			
"Pregabalin may treat the pain and the stiffness on which other medication doesn't work, with light drowsiness."	Pacific Time (US & Canada)	"Shibuya, Tokyo"	en			
Where the fuck Cody Huge twitter go?	Pacific Time (US & Canada)	My House USA	en			
The Percocet &amp; Stripper Joint 🌊		"Roxbury, Boston"	en			
GUESS WHO’S ALL HOPPED UP ON MORPHINE !!!!	Eastern Time (US & Canada)	starkiller base.	en			
Y'all some toast lol. I just tried heroin its not the			en			
"Episode 6,Season 2 of Narcos has got to be my fav episode of the show. Pablo Escobar lit dollar bills on fire to keep daughter warm."		Xanadu	en			
@andycapp48 @FoxNews More than you would get so go back to your opioids and your cousins.			en			
"My tylenol when I’m in pain

#KCA #FavPinoyNewbieInigo"		"Alameda, CA"	en			
@cody_hur Cody you know he cares	Adelaide	Unknown	en			
"@MadzFox Cody’s a dumbass, shes in fucking england"	Pacific Time (US & Canada)	"Hawaii, USA"	en			
@zonknuckIe Oh Cody...	Brasilia		en			
@SafetyPinDaily Are we still wondering why there's an opioid crisis in this country?	Eastern Time (US & Canada)	"Toledo, OH"	en			
I jus did a dose of percocet with some strippas....	Alaska	Cali	en			
@FeepFromTheDeep He’s dumb. Guy homewrecked because he wanted Cody	Pacific Time (US & Canada)	"Hawaii, USA"	en			
hydro snatching? What			en			
@khaiartzfar Shes gonna be the next heroin dlm drama pkul 7.	Kuala Lumpur	M'sia	en			
"So much oww today with the weather, early tramadol yo."	Europe/London	"Blanket Fort, UK"	en			
plant based protein                 slow me like morphine	Ljubljana	"Czech Republic, Prague"	en			
"Plant based proteins
Slow me like morphine"	Ljubljana	"Czech Republic, Prague"	en			
"The OXE diesel outboard features Low Speed Control (LSC), enabling unprecedented control while mooring and low speed maneuvering."	Pacific Time (US & Canada)	United Kingdom	en			
@fbhw They gave me oxycodone after i was shot			en			
@LazerHashu I sprayed that analgesic spray on it.. feels great 😍		"Multan, Pakistan"	en			
@cody_hur You are cody I know his feelings	Adelaide	Unknown	en			
"Beat:U2, NARCOTICS, OTHER at BROOKLYN AV NE / NE 47 ST reported on 2/27/2018 2:41 AM, Call# 18000071472"	Pacific Time (US & Canada)	"Seattle, WA"	en			
He say ima headache but he just gon take a Tylenol 😏		"Prichard, AL"	en			
I've never done heroin.		New York	en			
listening to HEROIN ...... calming	Pacific Time (US & Canada)	x y w r n n i h h l	en			
Lyft drivers will be pretty damn another fucking exoplanet in the Goldilocks zone and I fuck heroin addicts from small-town Ohio.			en			
@devious_bbw I have 75 for an hour and all the HYDRO YOU can handle		"Highland Park, San Antonio"	en			
@TheInterdiction set me the poppy seeds wanna make some heroin		"Watford, England"	en			
@StayHopeful16 @AlterNet What has Trump done about the opioid epidemic in our country?		United States	en			
@BBCRadio2 Mighty Morphin Power Rangers theme tune	Pacific Time (US & Canada)	Earth	en			
"@GeneticCuckoo Didn't know it had been patented, thought bc it's an old remedy from nature...
It's a good analgesic &amp; anti inflammatory."		Australia	en			
"@foxandfriends OBVIOUS ILL INTENTIONS AGAINST ALL PROGRESS CEPT OPIATES AND COCAINE, HUH BALSKA+FUSION THIS BALAKA"			en			
SOLD HIM SOME TYLENOL TOLD HIM IT'S PERCS		"Baltimore, MD"	en			
"i really wanna break in my neighbors shed, 99% sure there’s either heroin or bodies in there so i need to see wtf is up"	Central Time (US & Canada)	fxbg 	en			
I need to sleep bc I'm pretty sure I just read to give kids cocaine for cold sores instead of codeine/lidocaine			en			
Mighty Morphine Power Rangers were psychologically OH FUCK ME and I contract AIDS and blame it on Canadian-rules football.			en			
@MosquitoFarmer Tylenol doesn't do anything for me. Neither do percs. Pretty much only Motrin helps me with pain.	Pacific Time (US & Canada)	Massachusetts	en			
"You can’t be my friend if you post money, weed, codeine etc on social media....do &amp; have them all but don’t be a social media rat 🐀"	London	Snow Town/Las Gidi	en			
I woke up to Cody staring at nothing from the edge of the bed and growling at whatever the hell he’s looking at 😅	Central Time (US & Canada)	"McAllen, TX"	en			
"""She's morphine
Queen of my vaccine..."""	Mid-Atlantic	Barbacena-MG	en			
"@codyp222_cody Thanks, Cody!"	Central Time (US & Canada)	"Houston, Texas"	en			
"“Insanity is doing the same thing, over and over again, but expecting different results.” 
― Narcotics Anonymous"	Hanoi		en			
Religion is the opiate of the masses  #Marx #ComeyHearing			en			
"Acquired #hypogonadism: Opioid Induced Androgen Deficiency, Anabolic steroid-induced hypogonadism (ASIH), Childhood mumps"		"Newark, NJ"	en	opioid	androgen deficiency	
You’re the Tylenol I need when my head hurts	Central Time (US & Canada)	"New Orleans,La"	en			
"Omg Cody wants me to preform at his school like he wants to show me off , believe me if Stacy isn’t begging I ain’t that special"			en			
The way @sza says “Narcos” 😍 literally goosebumps every damn time.		🇿🇼🇭🇺♐️	en			
One more emotional about dog fb groups good Well that way maybe they won't block fam lil bur oxi are you trying?			en			
My hydro exam was a mega chaos but it was an A.	Vienna	Leverkusen	en			
Do you ever get a cold that is so bad you contemplate heroin? Same.	London	United Kingdom	en			
Stockholm Syndrome is more addictive to black people than any narcotic		water is not wet. 	en			
Best part of work tonight was finding a decent amount of heroin and a pipe in a purse someone returned 😂	Alaska	with Ry	en			
#YouAndIGoTogetherLike shooting up heroin and apple pie.	Pacific Time (US & Canada)	"California, USA"	en			
@baekaeri06 @bbhjagiya @weareoneEXO oh. ita cody and wyatt. 😍😍😍 been following them on YouTube and had watched their vlogs. 😍			en			
@MollyJongFast @jsiskoski No it's the HEROIN OR OXICONTIN		"North Carolina, USA"	en			
@Unknown_0017 Cody was still downstairs in the window.			en			
Heroin kena chickenpox pulak..		"Kedah,Malaysia"	en			
@2020fight Opioids have that affect		"Ballina, County Mayo Ireland"	en			
"BPD 911 Dispatch: NARCOTICS INSIDE | 900 N MONROE ST | Sat, Feb 17th 2018, 5:25 pm | Medium | P180481765"	Eastern Time (US & Canada)	"Baltimore, MD"	en			
macaroni and cheese Tylenol No.1  darkslateblue a nigger	Pacific Time (US & Canada)	piece of shit land	en			
"Say no to Tramadol
Say no to Codeine
Say no to Crack
Say no to Drugs! 

Embrace Marijuana people 🤗"	West Central Africa	"Abuja, Nigeria"	en			
@andynyman To help his morphine addiction by replacing it with cocaine. If I remember this rightly it didn’t work too well.			en			
Cody asked what’s Pierre like I told him he threatened to beat up anyone who hurt me . Big mistake .			en			
Anybody got any idea what to take for a cough that doesn't include DM or codeine?	Central Time (US & Canada)	Texas	en			
Religion is the opiate of the masses  #Marx #firstdayofspring			en			
who do home morphine iv drips mayb with sum flavour switches asking 4 a friend	Pacific Time (US & Canada)	fifteen	en			
@cody_hur I get up and looks for cody*	Adelaide	Unknown	en			
@yarbo77 @RdgPop @politico Technically yes; but a slightly different story and an interesting one. Look up Iron Eyes Cody.	Quito		en			
@MizzouNick2020 @desiraetubbs Cody is fine		Milford	en			
"Poker player doubles his £42,000 winnings betting on black: This is the moment professional gambler Jake Cody…"	Amsterdam		en			
"I'll move to Paris, shoot some heroin and fuck with stars"	Brasilia	"Rio de Janeiro, Brasil"	en			
I fuck w Migos Culture 2. Narcos my shit!			en			
@RepTimRyan Opioid crisis...lets talk up illegals and build a hyperlink.  U r repugnant		"Brentwood, PA"	en			
"@Nathanmacintosh Ha! If u'r taking percocet, you can wear whatever you want!  Feel better"		"Prospect Park, PA"	en			
Religion is the opiate of the masses  #Marxism #ComeyHearing			en			
Cavuto composes shots as if he were squeezing drops of liquid narcotic into the viewer's eyes. #PraiseFOX	Atlantic Time (Canada)		en			
"They backed, covered up God knows how many felonies, armed robbery, bank robbery,  Harrassed endlessly, caused a heroin crisis."		"Michigan, USA"	en			
@cody_hur Hey cody *I walk up to you*	Adelaide	Unknown	en			
Narcos is to good rn		cali	en			
"@MartyScurll Should be Cody taking that, not you"	London	Dunfermline Scotland	en			
"@dherman001 That sounds like a variation or twist of Karl Marx ""Religion is the opiate of the masses."" Similar but the exact opposite. 😁"		Virgina	en			
cody ko and noel are so funny i can't breathe	Yakutsk		en	cody	can't breathe	
Poppy seeds contain the same painkilling drug found in morphine and are banned in Singapore for this reason.	Kyiv		en			
@momurda_eternal The only difference between that guy and Cody is Cody just uses a AR	Atlantic Time (Canada)	check out my funny YouTube	en			
"Pro tip: 
Don't ride on a stomach full of codeine. You will vomit and be a sweaty mess."	London	Highlands 	en			
"It’s actually pronounced Analgesic, not Anal-Gesic.

Sir, the pills go in your mouth."	London	@GeeksOfColor	en			
Should i watch narcos?	Madrid	Universe 🌌 🕉️☯️☮️	en			
@cody_hur Ok cody	Adelaide	Unknown	en			
@zonknuckIe @MadzFox I had this issue. This bit with Cody vs Guy was really well drawn!	Brasilia	"Campinas, São Paulo"	en			
"@JoodAlThukair Zac and Cody are enough for me, let me learn actual people’s names first before you request something so impossible ✋🏽"		"Riyadh / Alkhubar , Kingdom of Saudi Arabia "	en			
I’m codeine dreaming 💤🤫	Eastern Time (US & Canada)	God's Plan	en			
Tylenol kick in PLSSS	Quito	"Gainesville, FL"	en			
@killsadistic idk cody but i know wes and i agree with u that he is slightly similar			en			
"@JustJackMusic Heroin comes close. Erm, apparently."	Casablanca	London innit	en			
McCaskill report: Opioid manufacturers gave millions to the common believing heart'.		"Manhattan, NY"	en			
Up watching narcos pablo a real beast		The Studio😀	en			
"@GailSimone Alex Wilder , diamondback , constricter , taskmaster  , hydro-man and kimura"			en			
"Thanks koolfever, tylenol, bioflu, robitussin, vicks (vaporub and inhaler), strepsils, and... kleenex! Payting!💪🏻"	Beijing	CEU Makati	en			
UK National Grid: #Large #Hydro is currently generating 0.22GW (0.45%) out of a total of 48.93GW		unit	en			
The National Narcotics Agency (BNN) arrested three men during a drug raid in Medan while another suspect died after being shot.			en			
"el chapo is a confusing story, narcos is better lmao"	Singapore	65	en			
@joe_exotic They were so excited about this. How about we worry about a bigger problem like opioids and meth!	Central Time (US & Canada)	"ÜT: 34.418774,-98.180721"	en			
@LoveSarae Oxy plus stain remover	London	United Kingdom 	en			
@Sandymonajj Wea u @?? Lets go LOUD on a codeine diet... m in Oluyole estate....		"Lagos, Nigeria"	en			
"Narcotic Control Board busts a Kenyan believed to be trafficking a drug worth $90,000 at the Kotoka International Airport.
#3FM927 #3Newsgh"	Pacific Time (US & Canada)	"Accra, Ghana"	en			
@sophie_gilder if i was prime minister id intercept all the drug boats and refine to morphine or xannax 🤷‍♂️	Pacific Time (US & Canada)	somewhere in the universe 	en			
"You drinking morphine, homie you a moron"	London	LDN/WW	en			
"@KOOLFOOLTATTOO Dude, seriously. We have to figure this out, obesity and opioids."		Wisconsin	en			
@SGGeet @tara_views Continuing previous medication and i m having back pain		"Hyderabad, India"	en			
"@gamblinglamb @_Compo @racingblogger @PokerStars My tank is about $30, should be a min of £47k in play. The ‘Cody’."		UK	en			
"@LadyKalma First time is always free ;)
Oh wait... That's heroin and not my body..."			en			
Preemptively planning out my Morphine cover band I’ll do for some Halloween punk house cover show	Pacific Time (US & Canada)	"Audio Science Laboratory, Research Division"	en			
nakahuman mn diay kos The Suite life of Zach&amp;Cody og The Suite life on Deck oy karn pa ko😁		Aragorn💙	en			
Cody the gila monster cries about martial arts		not the Andromeda Galaxy	en			
@desusandmero I️ was weak at “this is New York Groundhog Day” But I fully lost It at “methadone Macarena” 😭😭😭😭	Pacific Time (US & Canada)	Sitting Pretty In Emerald City	en			
@MyNameIsByf That's called Morphine.	Helsinki		en			
"@BBC6Music When Jokers Attack, Prozac vs Heroin, Geezers...BJM- And This Is Our Music"			en			
@ElGuruGyani Heroin with Cocaine🤭	Pacific Time (US & Canada)		en			
@AC360 Ivanka and qualifications ? Talk about an oxy moron			en			
[2/27]: Cody Rhodes vs. Matt Jackson ended in a DQ after Ricochet ran in and attacked both competitors (18:36)	London	A web server	en			
"Reading 20 year old Cody talk about 10 year old Cody, about to be a 30 year old Cody. The internet is sometimes a special place."	Sydney	Canberra	en			
@AmiriKing It’s called “honkey” and it’s a truth life documentary about your followers addicts to opioids		Thailand 	en			
"Ecstasy, cocaine and heroin are all more expensive watch ticks loudly, it is most likely a counterfeit."	London	factsylvania	en			
"NACOB arrests a Kenyan woman at Kotoka International Airport trying to traffic narcotics drugs worth $90,000

#StarrMidday #StarrNews"	Pacific Time (US & Canada)	Accra - Ghana - Africa	en			
Cody	Pacific Time (US & Canada)		en			
#ICYMI: Eglinton remains closed west of Caledonia (earlier collision involving a car into a hydro pole)	Pacific Time (US & Canada)	Toronto	en			
"@dhalhashim Dylan is Zack, Cole is Cody. 🙌🏻"	Pacific Time (US & Canada)	Ravenclaw Common Room	en			
@duasbellisario SOMEONE POURED POWDERED HEROIN ALL OVER THE FLOOR IN MY SCHOOL		10.02.18♡	en			
@cody_hur Ok cody	Adelaide	Unknown	en			
@CodyRhodes Cody I think you're a really good talent I think you're excellent in the rain heel or face you put on a great performance		"Ronkonkoma, NY"	en			
"Cody don't subtweet me rn, I'm trying to masturbate to some loli feet"	Pacific Time (US & Canada)		en			
Oh. Cody. You were so excited for Metroid Other M. I wish I could go back in time and give you a hug.	Sydney	Canberra	en			
@WarrenSapp @WillNYC54 Not you the guy that said it’s easier to buy an AR than Tylenol	Eastern Time (US & Canada)	"Florida, USA"	en			
Lt ni Cody hays 🤣	Midway Island	"Calimbas, R."	en			
Day 2 of opiate withdrawal. So I am basically a human bong now.	Atlantic Time (Canada)	"Toronto, Ontario"	en			
@magihti @DonaldJTrumpJr Or the opiate problem			en			
"Imagine a Scottish Power Ranger, who's catchphrase was 'It's Morphine time'."	London	Scotland	en			
🎲 Please come home with me ... I have Tylenol!!	Europe/London	"43.292959,-97.282854"	en			
@TIMEmag_Service  just finished reading the opioid diaries. Powerful issue.	London	"London, England"	en			
@mikey_mclaren Wow! This has been bad enough so I can’t imagine how bad that was 😂 morphine will have been a great help though 🛫☁️😂	London	"springfield, fife "	en			
@MERRYJANE Hope that includes opiates	Quito	In My Mind Most The Time	en			
Shoot your local heroin dealer.	America/New_York		en			
"@Daily_Record Get rid of methadone Mick, he’s pure pish"	Pacific Time (US & Canada)		en			
I just earned the Buffalo Bill Cody (2018) badge with the Nebraska 150 Fitness Challenge!		"Nebraska, USA"	en			
Ouu I just realized some shit 😭 Cody better get ready to hear my mouth 😂			en			
@BGPolitics Says the guy who thinks prayer rocks are a solution to the opioid crisis? Spare me.		"Kentucky, USA"	en			
Texas boyzZ This how we do in Tejas home of screw 84s &amp; vogues ! We was sippin Codeine before yal MF knew	Pacific Time (US & Canada)		en			
Trapping hard like narcos		"Houston, TX"	en			
"EMS responded early this morning for a rptd female that OD on heroin, 2600 blk Dewey #roc"	Eastern Time (US & Canada)	Rochester NY	en			
"lmao one answered, ""what kind of solar based? hydro or through sunlight?"" i cant!!!"	Pacific Time (US & Canada)	eyes on you	en			
So when are they going to outlaw Tylenol and Bufferin?		"Winter Garden, FL"	en			
"@shanetgrant11 its a small fracture but hes getting better slowly, Tramadol &amp; Codine helped"	Casablanca		en			
@Just_Westy @DrCraigEmerson @niessner_george @KKeneally @FinancialReview Pumped hydro is essentially a big battery		Australia	en			
"Searching my car
Lookin for the product!

Thinking every brotha wit a Raider's cap and pager is sellin narcotics"			en			
@a_leveck @BayouWithLove Cody let you pick out your own ring?! 😉		"Ames, IA"	en			
Tylenol also gives you instructions on what to do if you OVERDOSE		"Winter Garden, FL"	en			
@trippiiehippiie Yeah I wouldn't want to put any crap like that in my body. I'm just going to buy your heroin spoons instead. Much safer.			en			
Catch me pissing out the codeine from the night before	London	"Johannesburg, Planet Earth"	en			
"putangina narcos is so great and everything there is brilliant :""&lt;"	Pacific Time (US & Canada)		en			
@mjharmstone And Cody served in the Marine. That makes him a hero in my books		where the sun don't shine	en			
@theplaguedoc See also: “I’m allergic to morphine but can take codeine”	London	7th Circle of South London	en			
So when are they going to outlaw Tylenol???		"Winter Garden, FL"	en			
idk how I feel about him kissing kota to get heat. It’s...odd to see that trope b/w dudes esp one as straight as Cody	Pacific Time (US & Canada)	"Beaverton, OR"	en			
@ItsMeBareth @Mel_Denton Well I thought Cody would turn on Marty and that didn't happen. So I'm not right all the time LoL	Pacific Time (US & Canada)	"Gilbert, AZ"	en			
I'm trying to be sober for a month or so but I don't understand why I need to really. At least it's not alcohol or heroin.	London	"London, England"	en			
"@TrapTart The beauty of poppy seeds is they contain opiate, not kidding, it is science and personal experience."		Wherever I lay my hat.	en			
@Trancy9 @Education4Libs The Olympics is not great. Waste of money. Sport as opiate.		Australia	en			
@gbgary54 “It was like heroin. It was the attention she unknowingly craved most.”	Central Time (US & Canada)	"Houston, TX"	en			
