	PMID	CUI1	PTerm1	CUI2	PTerm2	CUI3	PTerm3	CUI4	PTerm4	CUI5	PTerm5	CUI6	PTerm6	CUI7	PTerm7	CUI8	PTerm8	CUI9	PTerm9	CUI10	PTerm10	CUI11	PTerm11	CUI12	PTerm12	CUI13	PTerm13	CUI14	PTerm14	CUI15	PTerm15	CUI16	PTerm16	CUI17	PTerm17	CUI18	PTerm18	CUI19	PTerm19	CUI20	PTerm20	CUI21	PTerm21	CUI22	PTerm22	CUI23	PTerm23	CUI24	PTerm24	CUI25	PTerm25	CUI26	PTerm26	CUI27	PTerm27	CUI28	PTerm28	CUI29	PTerm29	CUI30	PTerm30	CUI31	PTerm31	CUI32	PTerm32	CUI33	PTerm33	CUI34	PTerm34	CUI35	PTerm35	CUI36	PTerm36
113	371649	C0264886	Conduction disorder of the heart	C1560249	Adverse Event Associated with Cardiac Arrhythmia	C1273517	Used by	C0003811	Cardiac Arrhythmia	C0085612	Ventricular arrhythmia	C1963277	Ventricular Arrhythmia Adverse Event NOS	C0232208	Atrioventricular junctional rhythm	C0003811	Cardiac Arrhythmia	C0085612	Ventricular arrhythmia	C1963277	Ventricular Arrhythmia Adverse Event NOS																																																				
114	282060	C2712122	Normal blood pressure	C1271104	Blood pressure finding	C1271104	Blood pressure finding	C0497247	Increase in blood pressure	C3838679	4+ Answer to question																																																														
115	216966	C0150312	Present	C1720436	Under anesthesia	C0205160	Negative	C2911691	Feedback - evaluative response process	C0030193	Pain																																																														
116	215744	C0007370	Catalepsy	C0007370	Catalepsy	C0007370	Catalepsy	C0007370	Catalepsy																																																																
117	215262	C0150312	Present	C0684320	Disease regression	C3838679	4+ Answer to question	C0150312	Present	C4281574	Much																																																														
118	153530	C1720436	Under anesthesia	C0020538	Hypertensive disease	C0020649	Hypotension	C1272641	Systemic arterial pressure	C3840786	Greatly	C0020649	Hypotension	C1272641	Systemic arterial pressure																																																										
119	84372	C0002768	Congenital Pain Insensitivity	C0002768	Congenital Pain Insensitivity	C0596002	Observation of reflex	C0085639	Falls	C0033213	Problem	C0002768	Congenital Pain Insensitivity	C0424295	Hyperactive behavior	C1962977	Pain NOS Adverse Event																																																								
120	83392	C0150055	Chronic pain	C0442867	malignant disease	C0234425	Level of consciousness	C1306459	Primary malignant neoplasm	C1962977	Pain NOS Adverse Event	C1962977	Pain NOS Adverse Event	C2911690	Disease Controlled	C1962977	Pain NOS Adverse Event	C1962977	Pain NOS Adverse Event	C1962977	Pain NOS Adverse Event	C1306459	Primary malignant neoplasm	C0596240	Cancer Pain																																																
121	31960	C0086045	Mental concentration	C0150312	Present	C0442797	Decreasing	C0442797	Decreasing	C0237677	insensitivity	C3838679	4+ Answer to question	C0344315	Depressed mood	C0086045	Mental concentration	C0344315	Depressed mood																																																						
122	31482																																																																								
123	31481	C3844638	Either	C0150312	Present	C3838679	4+ Answer to question																																																																		
124	213424	C0027819	Neuroblastoma	C0017638	Glioma																																																																				
125	729631	C0020676	Hypothyroidism	C0237677	insensitivity	C0423896	Feeling content	C0020676	Hypothyroidism	C0020676	Hypothyroidism																																																														
126	720481																																																																								
127	569587	C0011570	Mental Depression	C0424295	Hyperactive behavior	C0221198	Lesion	C0221198	Lesion	C0150312	Present	C0221198	Lesion	C0150312	Present																																																										
128	700596	C0013798	Electrocardiogram	C0012634	Disease	C0018799	Heart Diseases	C0443168	Cardiac activity																																																																
129	755243	C0221198	Lesion	C2825142	Experimental Result	C0423896	Feeling content	C0221198	Lesion	C0162703	Pain Threshold	C0221198	Lesion	C0162703	Pain Threshold	C0221198	Lesion	C0221198	Lesion	C0221198	Lesion	C0221198	Lesion																																																		
130	753215	C0233571	excitement emotion	C0087136	Unmarried	C1299581	Able (finding)	C0019080	Hemorrhage	C1299581	Able (finding)																																																														
131	747465	C3844638	Either	C3151529	Lethal	C0600688	Toxic effect	C2825142	Experimental Result	C3151529	Lethal	C0235063	Respiratory Depression																																																												
132	747464	C0234146	Absent reflex	C0442804	Very high	C0600688	Toxic effect	C0750484	Confirmation																																																																
133	744660	C0019337	Heroin Dependence	C0449416	Source	C1709157	Negative Surgical Margin	C0237607	Practice Experience																																																																
134	744657	C0019337	Heroin Dependence	C0085281	Addictive Behavior	C0150312	Present	C0870312	commitment	C1554187	Gender Status - Intact	C0085281	Addictive Behavior																																																												
135	744656	C1443309	Reason for Treatment	C0242510	Drug usage	C0442797	Decreasing	C3844126	Can Do Very Little	C0150312	Present	C0425943	Duration of menstrual flow	C0150312	Present	C0557351	Employed	C0557351	Employed	C0041674	Unemployment																																																				
136	738930	C1273517	Used by																																																																						
137	734214	C1273517	Used by	C0450407	ph+	C0557351	Employed	C1554187	Gender Status - Intact	C3843766	<50	C1554187	Gender Status - Intact																																																												
138	733860	C1444648	Offered	C0184512	Stabilized (qualifier value)	C0871938	time out	C0871938	time out																																																																
139	733856	C0677505	Behaviors and observations relating to behavior	C3842676	Day 2	C3843766	<50	C3845714	Several days	C1514241	Positive Finding	C3844638	Either	C0557874	Global developmental delay																																																										
140	733852	C0815105	conditioned taste aversion	C0220929	Mental tolerance	C0815105	conditioned taste aversion	C0150312	Present	C0014412	Environmental Exposure	C0009647	Conditioning (Psychology)	C2825141	Experimental Finding	C0150312	Present	C0948482	analgesic effect	C0815105	conditioned taste aversion	C1273518	Responsible to	C0948482	analgesic effect	C0815105	conditioned taste aversion	C2825142	Experimental Result	C0679045	associative process	C1273518	Responsible to																																								
141	733848	C0600138	Does play	C0234243	Central pain	C0026605	Motivation	C0026605	Motivation	C0030193	Pain	C0150312	Present	C2825142	Experimental Result	C1444656	Indicated	C0344315	Depressed mood	C0344315	Depressed mood	C2825142	Experimental Result																																																		
142	727427	C1720436	Under anesthesia	C0234422	Awake	C0235063	Respiratory Depression	C0948482	analgesic effect	C0086168	Dissociation	C1273518	Responsible to																																																												
143	727414	C3843766	<50	C2825142	Experimental Result	C0086045	Mental concentration	C0018790	Cardiac Arrest	C0043251	Wounds and Injuries																																																														
144	720210	C0858353	addicted to heroin	C0237607	Practice Experience																																																																				
145	720209	C0439663	Infected	C1843013	Alzheimer disease, familial, type 3	C0262505	Hepatitis B carrier (finding)	C0332149	Possible	C0449416	Source	C2825142	Experimental Result	C1273518	Responsible to	C0009450	Communicable Diseases	C0750558	Unlikely																																																						
146	720208	C0332219	Easy	C0439857	Dependence	C1291732	Treatment pain	C0085281	Addictive Behavior	C0439857	Dependence	C0013146	Drug abuse																																																												
147	719962	C0043094	Weight Gain	C0004268	Attention	C3838679	4+ Answer to question																																																																		
148	719230	C1140999	Contraction (finding)	C4281574	Much																																																																				
149	718785	C0150312	Present	C0150312	Present	C3844638	Either	C0150312	Present	C0086209	Emotional Stress	C0039869	Thinking, function	C0585136	Gastric retention	C0585136	Gastric retention																																																								
150	718782	C3838679	4+ Answer to question	C3838679	4+ Answer to question	C1827246	Distance vision 6/30	C0039869	Thinking, function	C2825142	Experimental Result																																																														
151	712632	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation	C0150312	Present	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation	C2825142	Experimental Result	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation																																																
152	712631	C0564182	Vocalization (finding)	C0005658	bite injury	C1273517	Used by	C0564182	Vocalization (finding)	C0003044	Animal bite	C3843766	<50	C3843766	<50	C3843766	<50	C0558058	Reflecting																																																						
153	712585	C0020517	Hypersensitivity																																																																						
154	712584	C1273517	Used by																																																																						
155	581485	C0311392	Physical findings	C3843766	<50	C3838679	4+ Answer to question	C0849912	Emotional	C0030193	Pain																																																														
156	569864	C0278080	Physical addiction	C1509143	Physical assessment findings	C0026552	Morphine Dependence	C0038999	Swelling	C0332219	Easy	C0278080	Physical addiction	C1509143	Physical assessment findings	C0026552	Morphine Dependence	C2825032	Withdrawal (dysfunction)																																																						
157	569043	C2825032	Withdrawal (dysfunction)	C0600688	Toxic effect	C0220929	Mental tolerance	C0220929	Mental tolerance	C0220929	Mental tolerance	C0220929	Mental tolerance	C0439857	Dependence																																																										
158	363751	C0016658	Fracture	C0234244	Tissue Pain	C3272903	Overall Response	C3843766	<50	C3272903	Overall Response	C0948482	analgesic effect																																																												
159	359628	C0596240	Cancer Pain	C3844638	Either	C0518087	Pain level	C0564405	Feeling relief	C0009806	Constipation																																																														
160	318189	C0344307	Absence of pain sensation	C0948482	analgesic effect	C3844638	Either	C0344307	Absence of pain sensation																																																																
161	280858	C1273517	Used by	C0000925	Incised wound	C0857305	Thrombocytopenic purpura	C0034150	Purpura																																																																
162	218508																																																																								
163	63197																																																																								
164	214554	C0449381	Observation parameter	C0449381	Observation parameter																																																																				
165	213743	C0221198	Lesion	C0423896	Feeling content	C0242422	Parkinsonian Disorders																																																																		
166	213557	C0332128	Examined	C0442797	Decreasing	C3844638	Either	C2825142	Experimental Result	C0020580	Hypesthesia	C0150312	Present																																																												
167	104309	C0150312	Present	C1827101	Order control	C4304523	Withdrawal sign	C4297006	Increase dose																																																																
168	81768	C2825142	Experimental Result																																																																						
169	30841	C0235063	Respiratory Depression	C0235063	Respiratory Depression	C0235063	Respiratory Depression																																																																		
170	29738	C0150312	Present	C0450407	ph+	C0860760	ph normal	C0450407	ph+	C0235746	SALIVA ALTERED	C0450407	ph+																																																												
171	217552	C0150312	Present	C3843645	1-10	C2825142	Experimental Result																																																																		
172	106979	C0004268	Attention	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation																																																																		
173	732746	C0683278	Mental Suffering	C0271204	Left homonymous hemianopsia	C0021308	Infarction	C0003860	Arteritis																																																																
