	PMID	CUI1	PTerm1	CUI2	PTerm2	CUI3	PTerm3	CUI4	PTerm4	CUI5	PTerm5	CUI6	PTerm6	CUI7	PTerm7	CUI8	PTerm8	CUI9	PTerm9	CUI10	PTerm10	CUI11	PTerm11	CUI12	PTerm12	CUI13	PTerm13	CUI14	PTerm14	CUI15	PTerm15	CUI16	PTerm16	CUI17	PTerm17	CUI18	PTerm18	CUI19	PTerm19	CUI20	PTerm20	CUI21	PTerm21	CUI22	PTerm22	CUI23	PTerm23	CUI24	PTerm24	CUI25	PTerm25	CUI26	PTerm26	CUI27	PTerm27	CUI28	PTerm28	CUI29	PTerm29	CUI30	PTerm30	CUI31	PTerm31	CUI32	PTerm32	CUI33	PTerm33	CUI34	PTerm34	CUI35	PTerm35	CUI36	PTerm36	CUI37	PTerm37	CUI38	PTerm38	CUI39	PTerm39	CUI40	PTerm40	CUI41	PTerm41	CUI42	PTerm42	CUI43	PTerm43	CUI44	PTerm44	CUI45	PTerm45	CUI46	PTerm46
67	4052762	C3687559	Ovariectomized female	C0026552	Morphine Dependence	C0086045	Mental concentration	C0086045	Mental concentration	C0026552	Morphine Dependence	C0344315	Depressed mood	C0474395	Behavior showing increased motor activity	C0848237	acute stress																																																																												
68	2996933	C3843645	1-10																																																																																										
69	2996704	C0014518	Toxic Epidermal Necrolysis	C0234535	Seizures, Clonic																																																																																								
70	2414628	C2825032	Withdrawal (dysfunction)	C2825032	Withdrawal (dysfunction)																																																																																								
71	4080251	C0332128	Examined	C0815105	conditioned taste aversion	C0815105	conditioned taste aversion	C0815105	conditioned taste aversion	C0558058	Reflecting	C0332516	Symmetrical	C0853206	alcohol interaction																																																																														
72	2867504	C1880354	Disconnection Medical Device Problem	C1554187	Gender Status - Intact	C0150312	Present	C0442811	Very low																																																																																				
73	2864843																																																																																												
74	2907522	C0574125	Functional finding	C0150312	Present	C0162340	Comprehension																																																																																						
75	2866969	C0948482	analgesic effect	C3844638	Either																																																																																								
76	4046745	C0344307	Absence of pain sensation	C0020624	Hypomenorrhea	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation	C2825142	Experimental Result	C2825142	Experimental Result	C0558058	Reflecting																																																																														
77	2995747	C3843766	<50	C0150312	Present	C3151529	Lethal	C1386627	Bilateral carotid artery occlusion	C3843766	<50	C3843766	<50	C1386627	Bilateral carotid artery occlusion	C0424295	Hyperactive behavior	C3843766	<50	C3843766	<50	C3843766	<50																																																																						
78	2864624	C0150312	Present	C1140999	Contraction (finding)	C0150312	Present	C0150312	Present	C0558058	Reflecting																																																																																		
79	2864112	C0086045	Mental concentration	C0086045	Mental concentration	C0150312	Present	C3843766	<50	C1444656	Indicated	C0442804	Very high																																																																																
80	3931649	C3838679	4+ Answer to question	C1514241	Positive Finding	C0150312	Present	C4281574	Much	C2825142	Experimental Result																																																																																		
81	2995744	C0086045	Mental concentration	C0243026	Sepsis	C0004268	Attention																																																																																						
82	2995139	C1535939	Pneumocystis jiroveci pneumonia	C0332128	Examined	C1535939	Pneumocystis jiroveci pneumonia	C0332128	Examined	C1535939	Pneumocystis jiroveci pneumonia	C2825142	Experimental Result	C1535939	Pneumocystis jiroveci pneumonia																																																																														
83	4066875	C0009946	Conversion disorder																																																																																										
84	4054212	C0027651	Neoplasms	C2825142	Experimental Result	C0027651	Neoplasms	C0027651	Neoplasms	C0598934	tumor growth	C0150312	Present	C0344307	Absence of pain sensation	C2825142	Experimental Result	C0600138	Does play	C0007621	Neoplastic Cell Transformation																																																																								
85	2996912	C3843766	<50	C4297006	Increase dose	C3843766	<50	C3843766	<50																																																																																				
86	2865158	C0870868	mediated responses	C0541749	Does turn (finding)																																																																																								
87	4046736	C0233494	Tension	C0443168	Cardiac activity	C0443168	Cardiac activity																																																																																						
88	4041883	C0564182	Vocalization (finding)	C0460139	Pressure (finding)	C2825032	Withdrawal (dysfunction)	C4297006	Increase dose	C0564182	Vocalization (finding)																																																																																		
89	4041875	C1720436	Under anesthesia	C3838679	4+ Answer to question	C0332128	Examined	C3838679	4+ Answer to question	C0474395	Behavior showing increased motor activity	C1720436	Under anesthesia	C2825142	Experimental Result	C0596130	attribution																																																																												
90	2994843	C3843766	<50	C0004268	Attention	C0235169	Excitability																																																																																						
91	2994842	C0442804	Very high																																																																																										
92	2994838	C1709098	Muscle Stimulation	C0332128	Examined	C0151889	Hyperreflexia	C0150312	Present																																																																																				
93	4093214	C0679199	strategy	C0162340	Comprehension	C0577645	Personal problems	C0020903	Illusions	C0033211	Problem Solving (mental process)	C1299586	Has difficulty doing (qualifier value)	C0041657	Unconscious State	C0231224	Crisis	C0021229	Individuation																																																																										
94	4092134																																																																																												
95	4088543	C0332128	Examined	C0332128	Examined	C4321237	High Level	C4321237	High Level	C0543419	Sequela of disorder	C0700301	Cognitive information processing																																																																																
96	4085639	C0850310	Possessed	C1273518	Responsible to	C0850310	Possessed																																																																																						
97	4084666	C2825142	Experimental Result	C2825142	Experimental Result	C0001721	Affect (mental function)																																																																																						
98	4079586	C0150312	Present	C0150312	Present	C0150312	Present	C3844638	Either																																																																																				
99	4078978	C2825142	Experimental Result	C1273517	Used by	C0428687	Expiratory time	C0150312	Present	C0086045	Mental concentration	C0086045	Mental concentration																																																																																
100	4073871	C0150312	Present	C2825142	Experimental Result																																																																																								
101	4073443	C0013987	Emotions	C0425943	Duration of menstrual flow	C3843708	29+	C0150312	Present	C0596545	Experience																																																																																		
102	4072593	C0151744	Myocardial Ischemia	C0344315	Depressed mood	C1272641	Systemic arterial pressure	C0085639	Falls	C1272641	Systemic arterial pressure	C0020649	Hypotension	C0344315	Depressed mood	C0311392	Physical findings	C0023212	Left-Sided Heart Failure	C0039231	Tachycardia	C0553982	Impaired left ventricular function	C0750484	Confirmation																																																																				
103	4072591	C0235195	Sedated state	C0235195	Sedated state	C3843766	<50	C0233485	apprehension	C0235195	Sedated state	C0235195	Sedated state	C0871633	desire	C0150312	Present	C0030201	Pain, Postoperative	C0235195	Sedated state	C0235195	Sedated state	C0596545	Experience	C0027497	Nausea	C1963093	Dizziness Adverse Event	C0233477	Dysphoric mood	C0235195	Sedated state	C0235195	Sedated state	C0235195	Sedated state																																																								
104	4072588	C0686744	Well child	C0520904	Postoperative Nausea																																																																																								
105	4071661																																																																																												
106	4070837	C0456879	TNM certainty factor C1	C1273517	Used by	C4281574	Much	C3843766	<50	C0021467	Psychological inhibition																																																																																		
107	4070418	C0036974	Shock	C0162703	Pain Threshold																																																																																								
108	4070326	C0234447	Narcosis	C1301797	Induced hypothermia (finding)	C3843708	29+	C0001721	Affect (mental function)	C0234447	Narcosis	C0020672	Hypothermia, natural	C0001721	Affect (mental function)																																																																														
109	4069717	C1384674	Cesarean section (finding)	C0030201	Pain, Postoperative	C0344307	Absence of pain sensation	C0241705	Difficulty passing urine	C0150312	Present																																																																																		
110	4062439	C0460139	Pressure (finding)	C1510574	Response Inhibition	C0460139	Pressure (finding)	C0086439	Hypokinesia	C0460139	Pressure (finding)																																																																																		
111	4062010	C0266836	Infantile Colic	C0266836	Infantile Colic	C0428886	Mean blood pressure	C3845594	Slight change	C0344307	Absence of pain sensation	C0344307	Absence of pain sensation	C0948482	analgesic effect	C1962977	Pain NOS Adverse Event																																																																												
112	4061801	C0039231	Tachycardia	C0497247	Increase in blood pressure																																																																																								
113	4061800	C0686744	Well child	C0150312	Present	C0879626	Adverse effects																																																																																						
114	4058695	C0178824	Reactive Hyperemia	C0003130	Anoxia	C0857465	peak flow	C0020452	Hyperemia	C1273517	Used by	C0178824	Reactive Hyperemia	C0178824	Reactive Hyperemia	C0007785	Cerebral Infarction	C0917798	Cerebral Ischemia																																																																										
115	4054321	C0085639	Falls	C0600138	Does play																																																																																								
116	4053700	C0014518	Toxic Epidermal Necrolysis	C0241863	diabetic	C0155626	Acute myocardial infarction	C0241863	diabetic	C0155626	Acute myocardial infarction	C0596545	Experience	C0150312	Present	C0021308	Infarction	C0155626	Acute myocardial infarction	C0241863	diabetic																																																																								
117	4047342	C0085639	Falls	C0021467	Psychological inhibition	C3843765	65+	C1273518	Responsible to	C3258117	Response delay	C0001721	Affect (mental function)	C3843766	<50	C3843766	<50	C3843766	<50	C3843766	<50	C0162340	Comprehension																																																																						
118	4045722	C0332128	Examined	C0036974	Shock	C0036974	Shock	C0036974	Shock	C0036974	Shock	C0036974	Shock	C0442797	Decreasing	C0036974	Shock	C0036974	Shock	C0427514	Right shifted white blood cells	C0036974	Shock	C0036974	Shock	C0036974	Shock	C0427514	Right shifted white blood cells																																																																
119	4041321																																																																																												
120	4041320	C0948482	analgesic effect	C2215257	Acute postoperative pain	C3533236	Mean score	C1962977	Pain NOS Adverse Event	C0582148	Pain score	C0086045	Mental concentration																																																																																
121	4037468	C0521514	Retropharyngeal tendinitis	C0521515	Calcific tendinitis	C0567230	Pain of cervix	C1963180	Neck Pain Adverse Event	C0427008	Stiffness	C0011168	Deglutition Disorders	C2242558	Pathologic calcification, calcified structure	C0521515	Calcific tendinitis																																																																												
122	4037466	C0235032	Neurotoxicity Syndromes	C0392703	Shakes	C0040822	Tremor	C0027066	Myoclonus	C0036572	Seizures	C0235032	Neurotoxicity Syndromes																																																																																
123	4031011	C0150312	Present	C0027960	Nevus	C0150312	Present																																																																																						
124	4028614	C0442749	6/5	C1273517	Used by	C0235195	Sedated state	C0879626	Adverse effects	C0235063	Respiratory Depression	C0231837	Slow respiration	C0428977	Bradycardia	C0162297	Respiratory arrest																																																																												
125	3938813	C0449381	Observation parameter	C0449381	Observation parameter	C0449381	Observation parameter	C0449381	Observation parameter	C0014518	Toxic Epidermal Necrolysis																																																																																		
126	3936418	C0442726	Detected (finding)	C0027960	Nevus	C1510411	metaplastic cell transformation	C0424215	Sense of identity (observable entity)																																																																																				
127	3935458	C0014518	Toxic Epidermal Necrolysis	C3843766	<50	C0020514	Hyperprolactinemia	C0020514	Hyperprolactinemia																																																																																				
128	3933376	C2825142	Experimental Result	C0086045	Mental concentration	C0004268	Attention	C0235063	Respiratory Depression																																																																																				
129	3931860	C0011164	Abnormal degeneration	C3843766	<50	C0004268	Attention	C0442797	Decreasing	C0011164	Abnormal degeneration	C2825142	Experimental Result	C0853823	Norepinephrine Reduction	C0004268	Attention	C0150312	Present	C0221198	Lesion	C2825142	Experimental Result																																																																						
130	3931647	C0442797	Decreasing	C0150312	Present	C0150312	Present																																																																																						
131	3931013	C0009566	Complication	C0239966	Hospital patient (finding)	C0010957	Tissue damage	C0009450	Communicable Diseases	C0445223	Related personal status	C3840622	5 - 9	C1299582	Unable	C2586211	Thrombosis of blood vessel	C0332219	Easy	C1444648	Offered	C0871633	desire																																																																						
132	3928677	C0032460	Polycystic Ovary Syndrome	C0032460	Polycystic Ovary Syndrome	C0039082	Syndrome	C0332128	Examined	C4284035	Partial Response with Lymphocytosis	C0032460	Polycystic Ovary Syndrome	C0032460	Polycystic Ovary Syndrome	C0032460	Polycystic Ovary Syndrome	C0032460	Polycystic Ovary Syndrome	C4284035	Partial Response with Lymphocytosis	C4284035	Partial Response with Lymphocytosis	C0032460	Polycystic Ovary Syndrome	C0032460	Polycystic Ovary Syndrome	C0032460	Polycystic Ovary Syndrome	C1273518	Responsible to	C0039082	Syndrome	C0032460	Polycystic Ovary Syndrome																																																										
133	3912337	C0424946	Self-help group support	C0557351	Employed	C0524637	Recognition (Psychology)																																																																																						
134	3904545	C0221500	Effects of heat	C2825142	Experimental Result	C0018790	Cardiac Arrest																																																																																						
135	3902431	C0033046	Premenstrual syndrome	C1457887	Symptoms	C0033046	Premenstrual syndrome	C0033046	Premenstrual syndrome	C1306597	Psychiatric problem	C0162429	Malnutrition	C3263685	Hormone abnormality	C0033046	Premenstrual syndrome	C2945640	compromise	C0033046	Premenstrual syndrome	C0521989	Associated symptom	C0011156	Deficiency Diseases	C0150312	Present	C0033046	Premenstrual syndrome	C4055223	Clinical Response	C0033046	Premenstrual syndrome	C0033046	Premenstrual syndrome																																																										
136	3901375	C0679006	Decision	C1962977	Pain NOS Adverse Event	C1962977	Pain NOS Adverse Event	C0599766	Recovery of Function	C0033774	Pruritus	C0009566	Complication	C0332219	Easy																																																																														
137	3900192	C1550043	Container status - Identified																																																																																										
138	3898920	C0018790	Cardiac Arrest	C0030201	Pain, Postoperative	C3844638	Either	C0559546	Adverse reactions	C0030201	Pain, Postoperative	C0014518	Toxic Epidermal Necrolysis	C1962977	Pain NOS Adverse Event	C0569476	Lidocaine adverse reaction	C0879626	Adverse effects																																																																										
139	3896912	C0679006	Decision	C1140999	Contraction (finding)	C0679217	active state	C0162340	Comprehension	C0162340	Comprehension	C0162340	Comprehension	C0015663	Fasting	C4055264	Cellular Debris	C0427184	No incoordination	C0427184	No incoordination	C0427184	No incoordination																																																																						
140	3877783	C0425043	Death of relative	C0524662	Opiate Addiction																																																																																								
141	3863855	C0552617	Study observation	C1838994	Rapid onset	C0596002	Observation of reflex	C1554187	Gender Status - Intact	C0344315	Depressed mood	C0235063	Respiratory Depression	C1963140	Hypoxia Adverse Event	C1963065	Apnea Adverse Event	C0596545	Experience	C0559546	Adverse reactions	C0596545	Experience	C0237607	Practice Experience	C1273517	Used by	C0150312	Present	C0474710	Depth of anesthesia																																																														
142	3843305	C0026552	Morphine Dependence	C0026552	Morphine Dependence	C4304523	Withdrawal sign	C0086045	Mental concentration	C2826729	Physical Exam Result	C0439857	Dependence	C2825142	Experimental Result	C0278080	Physical addiction	C0439857	Dependence	C4304523	Withdrawal sign	C0232514	Teeth chattering	C0392703	Shakes	C0564182	Vocalization (finding)	C0278080	Physical addiction	C4304523	Withdrawal sign	C3843766	<50	C0439857	Dependence	C0232514	Teeth chattering	C0392703	Shakes																																																						
143	3840877	C0025345	Menstruation Disturbances	C0150312	Present	C0036572	Seizures	C0014544	Epilepsy	C1457887	Symptoms	C0036572	Seizures	C0014544	Epilepsy	C2825142	Experimental Result	C1273517	Used by																																																																										
